amount,mu,total_fees,successful,expectation_round_1
1000,0,7300,True,99.96
1000,10,160,True,99.96
1000,100,74,True,99.95
1000,500,2052,True,99.93
1000,1000,2052,True,99.93
1000,5000,49,True,99.89
1000,10000,49,True,99.89
1000,100000,1002,True,94.88
1000,1000000,-1,False,
10000,0,55000,True,99.62
10000,10,1600,True,99.56
10000,100,740,True,99.48
10000,500,2520,True,99.26
10000,1000,2520,True,99.26
10000,5000,490,True,98.94
10000,10000,490,True,98.94
10000,100000,-1,False,-1.0
100000,0,532000,True,96.22
100000,10,16000,True,95.63
100000,100,7400,True,94.88
100000,500,7200,True,92.8
100000,1000,7200,True,92.8
100000,5000,4900,True,89.8
100000,10000,4900,True,89.8
100000,100000,-1,False,-1.0
1000000,0,4274000,True,74.42
1000000,10,125600,True,74.97
1000000,100,108200,True,-1.0
1000000,500,-1,False,-1.0
10000000,0,14472154,True,-1.0
10000000,10,-1,False,-1.0
