amount,mu,total_fees,successful
1000,0,22036,True
1000,10,1015,True
1000,100,1015,True
1000,500,9,True
1000,1000,9,True
1000,5000,9,True
1000,10000,9,True
1000,100000,9,True
1000,1000000,-1,False
10000,0,121351,True
10000,10,1150,True
10000,100,1150,True
10000,500,90,True
10000,1000,90,True
10000,5000,90,True
10000,10000,90,True
10000,100000,90,True
10000,1000000,-1,False
100000,0,1114501,True
100000,10,2500,True
100000,100,2500,True
100000,500,900,True
100000,1000,900,True
100000,5000,900,True
100000,10000,900,True
100000,100000,900,True
100000,1000000,-1,False
1000000,0,8966802,True
1000000,10,24100,True
1000000,100,15000,True
1000000,500,9200,True
1000000,1000,9200,True
1000000,5000,9000,True
1000000,10000,9000,True
1000000,100000,-1,False
10000000,0,-1,False
