amount,mu,total_fees,successful
1000,0,2387,True
1000,10,1644,True
1000,100,2634,True
1000,500,2484,True
1000,1000,2484,True
1000,5000,2484,True
1000,10000,2484,True
1000,100000,2484,True
1000,1000000,-1,False
10000,0,23861,True
10000,10,3561,True
10000,100,4461,True
10000,500,2961,True
10000,1000,2961,True
10000,5000,2961,True
10000,10000,2961,True
10000,100000,2961,True
10000,1000000,-1,False
100000,0,238601,True
100000,10,22731,True
100000,100,22731,True
100000,500,7731,True
100000,1000,7731,True
100000,5000,7731,True
100000,10000,7731,True
100000,100000,7731,True
100000,1000000,-1,False
1000000,0,2386001,True
1000000,10,214431,True
1000000,100,205431,True
1000000,500,180089,True
1000000,1000,-1,False
10000000,0,28731990,True
10000000,10,-1,False
