node,total_fee,capacity,routed_payments
026db2cbf3d8ab4a4c01eed2df432d20cf0a13136402097574209d2595cb9e9d93,1231019,673489156,625
03fce165537aea120bffe8505876b44d5119354f825b3eac329b761fc5636bf334,445689,1826195294,700
033d8656219478701227199cbd6f670335c8d408a92ae88b962c49d4dc0e83e025,27604936,30813834412,6289
0303a518845db99994783f606e6629e705cfaf072e5ce9a4d8bf9e249de4fbd019,2931318,3489955677,2197
031c7ecff228dfe6054307ee49c8616998af5f8d4436f13c07d211aeb6c0ec87f7,3393498,1205732524,1309
0337d0c749f89d24e75427e1fec4ce2ed4f7d5a38c2196bc69825aa9e439696ec4,33259,5900000,49
0219ecc0ab49be9b91c3c302c99a32ddea784f352f329451e2ce7a7dcd461a684a,5005,39650000,5
031015a7839468a3c266d662d5bb21ea4cea24226936e2864a7ca4f2c3939836e0,71846,2399409089,74
03ea08d787c0153d42f0aa286a1b7000de17d959771e059aadc1cf85d5f2a67e35,1031894,345644727,683
02459b759a62bc3ebfe98a320da237944cc4f35456384bd8fdefa7d0340c75f46f,18199,590391630,16
03dd09855c3634daa5c7de0146f4d54eb395b51ae422bc86ee1132a0d7ed50e720,2,1150369993,1
03fd21fdee8e9adc070b53a0bca8685cbc0b97f27b72f364723dcc54b4164ab21b,0,293897922,1
03886b18969fd197358b66b6ab9bac2d5e32bb4e5157925bc0292acb3893a47237,148975,152702686,610
035f5236d7e6c6d16107c1f86e4514e6ccdd6b2c13c2abc1d7a83cd26ecb4c1d0e,1443415,10081621683,2052
031ce29116eab7edd66148f5169f1fb658fad62bdc5091221ab895fe5d36db00b2,39621,2162969394,100
032a54b1e9cd2ff8ec5f58915a749cf074e957006e8b4da9c8497fed4b6c6f88dc,55359,526802248,23
03c01a7e406e5e2125329a56b2077d7f6d8fe3ddecf737d470f9e9bbd06fad665a,3383,26888750,5
03cde60a6323f7122d5178255766e38114b4722ede08f7c9e0c5df9b912cc201d6,2527796,23863743334,1349
03b006c37dfb8681e5db9f513386d06c9d18bd514fae5d79a7ed2d5991c7d57330,483244,3290555928,290
037b6d276f7a3c5835b43d0e1d7c2204d4344feed775d865643c15f1ce19f5e952,1154,49615718,1
03c8dfbf829eaeb0b6dab099d87fdf7f8faceb0c1b935cd243e8c1fb5af71361cf,735210,384621324,418
