node,total_fee,capacity,routed_payments
03ea08d787c0153d42f0aa286a1b7000de17d959771e059aadc1cf85d5f2a67e35,734300,345644727,700
0303a518845db99994783f606e6629e705cfaf072e5ce9a4d8bf9e249de4fbd019,1588186,3489955677,1514
027ce055380348d7812d2ae7745701c9f93e70c1adeb2657f053f91df4f2843c71,97557,2951001562,93
02c655f6d1a332ca83113bba5037f6df92807d792c049219dec3e329ff5b08b7ac,34617,144461959,33
0325bb9bda523a85dc834b190289b7e25e8d92615ab2f2abffbe97983f0bb12ffb,73430,1851653439,70
033d8656219478701227199cbd6f670335c8d408a92ae88b962c49d4dc0e83e025,2442072,30813834412,2328
02315fe3619ffdea2561bcacecada87b226723f471a59fdbfec18c4e84bcf785b2,273789,356214870,261
0298f6074a454a1f5345cb2a7c6f9fce206cd0bf675d177cdbf0ca7508dd28852f,453168,5169604101,432
03d7d9a5943b3f651a1b6fc160db9a8d35ccc0aca35d964d9c690d5aae664df3aa,2098,25499936,2
029f96fe33e4c3db0a7dc4039fb9e2a792bb99ef62589c9932bce2a59a06b650d7,692340,77379125,660
031c7ecff228dfe6054307ee49c8616998af5f8d4436f13c07d211aeb6c0ec87f7,1209497,1205732524,1153
024a8228d764091fce2ed67e1a7404f83e38ea3c7cb42030a2789e73cf3b341365,63989,679250935,61
03886b18969fd197358b66b6ab9bac2d5e32bb4e5157925bc0292acb3893a47237,713320,152702686,680
03037dc08e9ac63b82581f79b662a4d0ceca8a8ca162b1af3551595b8f2d97b70a,268544,9754514914,256
035e4ff418fc8b5554c5d9eea66396c227bd429a3251c8cbc711002ba215bfc226,1088862,11861998326,1038
029dbfa6522308727bece435051550ff45e8b058fe223ed2a35bb536910572ef6e,3147,1600000,3
03864ef025fde8fb587d989186ce6a4a186895ee44a926bfc370e2c366597a3f8f,1814770,21909153027,1730
03cde60a6323f7122d5178255766e38114b4722ede08f7c9e0c5df9b912cc201d6,879062,23863743334,838
035b1ff29e8db1ba8f2a4f4f95db239b54069cb949b8cde329418e2a83da4f1b30,144762,1618549813,138
0242a4ae0c5bef18048fbecf995094b74bfb0f7391418d71ed394784373f41e4f3,307357,3532087822,293
02ae53b0661195617ba1063e053ee238a24e80b90e371ebf2038de00aeb196bfd7,652478,69818594,622
03ae9f91a0cb8ff43840e3c322c4c61f019d8c1c3cea15a25cfc425ac605e61a4a,53499,167027862,51
0377f626255c4b6938becd925bcc422cf2662bfa03df7008b5dfd7356db50d2bef,55597,1463098846,53
02f1a8c87607f415c8f22c00593002775941dea48869ce23096af27b0cfdcc0b69,482540,9150213997,460
02de11c748f5b25cfd2ce801176d3926bfde4de23b1ff43e692a5b76cf06805e4a,115390,2997239653,110
03c8dfbf829eaeb0b6dab099d87fdf7f8faceb0c1b935cd243e8c1fb5af71361cf,446874,384621324,426
022755c3ff4e5a1d71f573cda4b315887fc00a9e5c9ea9a847d939f3e517e69a70,368199,2369581964,351
035f5236d7e6c6d16107c1f86e4514e6ccdd6b2c13c2abc1d7a83cd26ecb4c1d0e,744790,10081621683,710
028a8e53d70bc0eb7b5660943582f10b7fd6c727a78ad819ba8d45d6a638432c49,95459,2474706561,91
023389e8d150f4e3a93fc6b3e9e86df770c22139bf12c83ef0fb5a74ae91e0bbc1,2098,1140000,2
03c436af41160a355fc1ed230a64f6a64bcbd2ae50f12171d1318f9782602be601,99655,462348296,95
03e036c7da199f4dd1f2ea0eaedf2ba6142850553671cdc7d502ec382173ba9396,17833,307331458,17
03a84351bb64b77d1bc69ca69fe8fd2a8a14bc4f8e10373e8e3d735e614420ffa1,7343,160513021,7
031015a7839468a3c266d662d5bb21ea4cea24226936e2864a7ca4f2c3939836e0,93361,2399409089,89
02bfe975eb18b29455ee6d5c3a2dc6c8097cb4d9a38fb440ded1e464b33ccc9f60,22029,235941088,21
031ce29116eab7edd66148f5169f1fb658fad62bdc5091221ab895fe5d36db00b2,63989,2162969394,61
02247d9db0dfafea745ef8c9e161eb322f73ac3f8858d8730b6fd97254747ce76b,165742,2076713763,158
034ea80f8b148c750463546bd999bf7321a0e6dfc60aaf84bd0400a2e8d376c0d5,666115,10952708000,635
0269d18d4adb5bd999fe7c8516b2d6b78ca854309ec996c4906bde9978f8a28457,4196,73996048,4
02df5ffe895c778e10f7742a6c5b8a0cefbe9465df58b92fadeb883752c8107c8f,18882,871264778,18
037659a0ac8eb3b8d0a720114efc861d3a940382dcfa1403746b4f8f6b2e8810ba,294769,4545040370,281
03668e08fefdc45f91d21dada56f7fed9424dc1092390b88e34a4f119fa4a9e002,14686,158776946,14
02d4b432058ec31e38f6f35d22a487b7db04c4bf70f201f601b66f7b4358242b03,49303,994561148,47
0217890e3aad8d35bc054f43acc00084b25229ecff0ab68debd82883ad65ee8266,347219,636152639,331
026db2cbf3d8ab4a4c01eed2df432d20cf0a13136402097574209d2595cb9e9d93,603175,673489156,575
02530bf9cd43ebf3d32867708735b9d5c8f96af143f5f08be5bc2b7fe47a3d81c3,614714,2833294679,586
