node,total_fee,capacity,routed_payments
02258a9aa9463749bf729511af78b1ea339ecdb36b37a6e18a8c8caa895228bfcb,101,11147956,1
0283c8e76952e4391a298ef991250406906b8877088b285f032b60867ebe27dad9,139,88937832,1
03c1a8ccc5c83b37059a3efbb72e633c0897172f2550475b93bdc14b5ca243a0d1,1222,665536894,3
03c9b47af55d8c13dc4c764e5d0e6a02b7498160f7533f015bf0c107dec00c008b,15824,760730069,9
02bb24da3d0fb0793f4918c7599f973cc402f0912ec3fb530470f1fc08bdd6ecb5,14509,2961863758,20
0294ac3e099def03c12a37e30fe5364b1223fd60069869142ef96580c8439c2e0a,23382,8310492637,50
02f1a8c87607f415c8f22c00593002775941dea48869ce23096af27b0cfdcc0b69,271018,30084646644,154
033d8656219478701227199cbd6f670335c8d408a92ae88b962c49d4dc0e83e025,248727,78080827991,382
03fce165537aea120bffe8505876b44d5119354f825b3eac329b761fc5636bf334,19894,2397293512,35
026db2cbf3d8ab4a4c01eed2df432d20cf0a13136402097574209d2595cb9e9d93,13213,645962482,25
024bfaf0cabe7f874fd33ebf7c6f4e5385971fc504ef3f492432e9e3ec77e1b5cf,40139,11862358916,51
022755c3ff4e5a1d71f573cda4b315887fc00a9e5c9ea9a847d939f3e517e69a70,62398,3485077245,79
03c8dfbf829eaeb0b6dab099d87fdf7f8faceb0c1b935cd243e8c1fb5af71361cf,20317,390170396,60
02315fe3619ffdea2561bcacecada87b226723f471a59fdbfec18c4e84bcf785b2,3129,435246194,33
0303a518845db99994783f606e6629e705cfaf072e5ce9a4d8bf9e249de4fbd019,64735,4381479562,53
02de11c748f5b25cfd2ce801176d3926bfde4de23b1ff43e692a5b76cf06805e4a,12951,3844789272,16
0202e7727ee46d943a44c7bf0dce14220a839630dee67d03446bf935178b55a0df,3527,2058885774,4
0217890e3aad8d35bc054f43acc00084b25229ecff0ab68debd82883ad65ee8266,75481,773344368,100
02b56712f65c281a1eacee0bb034699a716535a1c8ae1c912e232893d4ad27d3a7,79816,547644437,72
