node,total_fee,capacity,routed_payments
028fe8b8612b97f8add2ba1193b01b1d1f2964c918d92b2d9444107e1f8af711d6,39,26700000,2
02826f50035eca93c7ebfbad4f9621a8eb201f4e28f994db5b6b5af32a65efb6b9,120,179750987,3
0298f6074a454a1f5345cb2a7c6f9fce206cd0bf675d177cdbf0ca7508dd28852f,44898,5247600986,64
039f0ad37eef3e1813ebe825d2d91908914a2c3ec1b2047fda6a9fedce3a6f63dc,34289,3176952687,120
0395a7b27c7597efab6af5806081e6f4d9e65003b100b6d6ace892bcfdbcb5e741,11152,2623875215,63
026165850492521f4ac8abd9bd8088123446d126f648ca35e60f88177dc149ceb2,5174,4035549833,44
02e1823c86f1a8e193964c3ab084d015622a07573372b0a842b555c6ce84176449,1,89784000,1
037621d90b5f3673834287d2f87d4c5a014ccad50a973d3b8c6aa5b94c30a537e7,50,26042462,1
0260fab633066ed7b1d9b9b8a0fac87e1579d1709e874d28a0d171a1f5c43bb877,537764,7647322019,276
0237fefbe8626bf888de0cad8c73630e32746a22a2c4faa91c1d9877a3826e1174,220300,396163285,133
029f96fe33e4c3db0a7dc4039fb9e2a792bb99ef62589c9932bce2a59a06b650d7,2850,77680427,134
02e4eb0ae9b0236473008caabfcf6a836f6d5f4c1a9b639d977d2772005880a37a,1419,38701584,105
035352d5960c7f86263e079f29707144088709332e781246b306370ca7e0a64183,344244,1383352085,132
038fe1bd966b5cb0545963490c631eaa1924e2c4c0ea4e7dcb5d4582a1e7f2f1a5,4296,4323099852,117
03886b18969fd197358b66b6ab9bac2d5e32bb4e5157925bc0292acb3893a47237,22000,155094804,127
03037dc08e9ac63b82581f79b662a4d0ceca8a8ca162b1af3551595b8f2d97b70a,675593,9761184914,445
023d70f2f76d283c6c4e58109ee3a2816eb9d8feb40b23d62469060a2b2867b77f,2019079,869983046,81
02fb22354383c240f9a04b194d610186cdec1045d961cb7989f254cb7c96498ab5,150500,988086075,137
02f1a8c87607f415c8f22c00593002775941dea48869ce23096af27b0cfdcc0b69,398189,9200213997,361
0230a5bca558e6741460c13dd34e636da28e52afd91cf93db87ed1b0392a7466eb,53471,2332541769,74
026db2cbf3d8ab4a4c01eed2df432d20cf0a13136402097574209d2595cb9e9d93,15546,740723375,70
02ae53b0661195617ba1063e053ee238a24e80b90e371ebf2038de00aeb196bfd7,0,69988594,127
03e94e144ad749a1cb11972212267fac12c0abfe0ca5a33985dcece556e62a1443,265869,538197124,125
035e4ff418fc8b5554c5d9eea66396c227bd429a3251c8cbc711002ba215bfc226,271331,12004092729,341
0294ac3e099def03c12a37e30fe5364b1223fd60069869142ef96580c8439c2e0a,28192,5164387646,146
02b8d9cbd41f44a71d79e3cbe3635815a4f70f183bb37745487142cde285de1c20,1988,19963785,27
02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,12120,875397467,15
027ce055380348d7812d2ae7745701c9f93e70c1adeb2657f053f91df4f2843c71,6597,2951001562,32
03a302b07e57cc167a5c52f3bf917bc708b89f852828a0c7e1419e8eddcd97daed,27856,1021476389,46
03ae9f91a0cb8ff43840e3c322c4c61f019d8c1c3cea15a25cfc425ac605e61a4a,501,167547862,9
02f5c3900821c8245d7a8991a39188060da0f65e6133a9ceb0415e09ed572255e1,7,6200000,14
03a503d8e30f2ff407096d235b5db63b4fcf3f89a653acb6f43d3fc492a7674019,25277,913534124,22
033878501f9a4ce97dba9a6bba4e540eca46cb129a322eb98ea1749ed18ab67735,336,1653351974,8
028edb80cb2a4cfa10dc72fc0942ae42575e484480bf53c6373fc4d46240bfec62,12138,53621120,26
03c1a8ccc5c83b37059a3efbb72e633c0897172f2550475b93bdc14b5ca243a0d1,91609,1175901150,67
0354d80bcc05fc30b0d867238d83645b68b326c59f05303be14c87bcf4e84bd9c9,3,92591913,3
022eae8c2a9a8b02dec48e793dbd95ba322cbcfc84ddab573c1a85512bfc4ad7a7,275,686884049,6
020d1617e27ac022395352f2b3774969593d3d6ddff6fb117d820a9dda8da45217,8573,1523033418,18
028c809cdd0e37b989921d44160109af8005e05b315234e922d1d70fd588c29bb4,160,51734962,2
0200cf174ef5c6abbdd2f8ab87d1628c83a99a309266465e9c7cde14fb6d5882a9,394,363736667,3
03bb62e41a7a89f1bfc4a8211894beb7a143e5efe469578d71779233fdef4ac4c7,1,159201000,1
023d49fd88692d4d1f366ee8ffa9dfe979c2266b036b440928e86cf3abe28d1894,3250,1110222870,6
03ea08d787c0153d42f0aa286a1b7000de17d959771e059aadc1cf85d5f2a67e35,38682,369183275,51
0245f0788ff401af7fbd7bddc0da7bd43b0b07e91b4a1dd0fd0ca60fa53b2c829a,342,53190312,1
0318ac9faa9629e7da08819bc8fe0dd2ae3044d69b1b2283a63479acffeb968483,822,596396165,16
021951d5e00e53173f5a238da18ee2d56bed6b88bb23edd7377d706a683d9fb256,0,2000000,2
03d1b19ebc6cdce5685bad391f266d077f0cacd2e5c1f46824e1427ce7dba2f630,90,94449999,2
03a465772d45616bf6c8450a69191db8f3cf8cca19ff92138735fd5f1d436fe4dc,5222,586760253,2
02315fe3619ffdea2561bcacecada87b226723f471a59fdbfec18c4e84bcf785b2,25,396021251,39
03f51df0183b2083d678d867d7441ba7e8dbf1bfdd23729d702b81a8b128e3e876,709,189782841,2
027dce87dd5e00e7a7e054b167129e6b6cf4959ce4af14d14025cb338fae766bcb,234,13000000,1
03c2b5e97173e2ff7baea106a34a165e0213b6c5148441ea97785b35a78a506299,67445,415707499,56
02c43a8c5dd024c4d3c5be5612347f87cf90d79e5c2417861908d25f72046354c3,490,297353627,54
035f349ec6f4cc1105042e108df460bd5a5662aa49cd9b783787990b1a923d0396,3000,37310621,3
02c945c0c8431af2a6e182b62f7cbd3896a45784248be73791faea505361309b97,100,49167625,1
0336f76c8d1209135699fb1aa3db07634c361c4482210111285234eb28b398fe2d,425,163018062,3
02a0c9089ace681ef4e6ae5310b028d9c2a09187bfbc616da6251e3d08801851b8,4042,1287494533,10
03f3d6529d4c2d7f2972659a213b0782c99d99a350866675555bef249d87ad525b,699,86269420,3
0333db550a6adf591d04d13fc19e9df0529a8e721311da6197f311a462f6674111,0,10000000,3
03423f60a2c3aa6b1417aab45e1783069b1e9023453fec2d5d3c79dd0cb45c678d,300,2700000,2
03d67293bea1d531353a5026d752783628ef15f285fb00207b4eb72185674e9ec5,1,361776144,4
03ffffc58edad996d41937802364d6f1b84e448ace0d53e96530f634c20864d834,25,30490000,1
02efdb1d6c10295195272ee896c9eac3c55fa1f0ee0250a86dfcf0af102ab55939,50,5086663,1
0215bea618806194ad88b80de8bc11c6391edb2fa1beeea6174305856596faeee8,276,181855879,5
036da0201ba1f16a2089d1e17a8fe236114adef33bfff59073771723c60b08b4ac,250,522991619,2
03b323009613777edc4e8024c6726758396bc026da99545971164a6baad31dfc69,1000,1062795414,5
033533e2db6311c1d417d41279c067d8713ad8a7d577a0d91e65df2f6a82c5b862,800,811496380,8
024ce95f947350b96b3e167a9a94ad331d3ce719e2b505ca81d2ba66fefa7bdcea,1697,7600000,2
029f20f3d222e22706d7e1f624c79cd87f9868317cd5601684ad1f924ffc1a621b,150,19767776,2
032a7a0a92c3038901d8f3177ca2d352ca57738a21b1a46f524d1fd23a1b5740b4,299,49150000,2
02489368e779854165517c9d88e977c7e2e90e4836bfeb63186b79cc015f00700d,643,140450000,13
02c10ada6c6bed574f216d4decb799743921da2ed13dc51c410bc9559c1f90acb9,21384,1350052261,17
024a8228d764091fce2ed67e1a7404f83e38ea3c7cb42030a2789e73cf3b341365,531,679550935,10
02f1b3ef58d0fc754fe8b9548daaa9382d35f3b5f721d7ec4a517cb621b2fc6a0d,400,1795630,1
0364e3da4d370c3b2e42ddc82333fa5420c7cc6a0631403fb6bc11aa120a9dee95,1,15469991,1
02ec14c429471b5ef3cc7cdc95f38b30e4c61f639adf6f95ce8d8ad44dd224ab35,657,138588276,54
03c8dfbf829eaeb0b6dab099d87fdf7f8faceb0c1b935cd243e8c1fb5af71361cf,24123,401998759,66
0333175e2ddb8ae3fab14125c312cf62b9da6dc54fc922edd1aa11e4e059496594,499,479126297,3
039efdf7a40f848d9fe30f1ab97b297c06f96fde1992ece0eca7639711ecac5a93,378,314848620,2
02d1b7cd61582a850f54d3162dc1f25bf12ee7e5a348fe0812fde7b7af6dbdda42,200,58870000,3
03481fbb533dda9a43f5f6e3dba51ae6d50bf3d40c242c37d60637bb0c3e615890,221,47415100,3
