node,total_fee,capacity,routed_payments
0297a77f4d1ccc55d7a10a9b137119b1103d9a9d38a5a97ffa1d0152c818fcdd0a,14686,236659605,14
0204a91bb5802ad0a799acfd86ef566da03d80cc9e13acb01e680634bf64188a0d,20980,1116605487,20
035e4ff418fc8b5554c5d9eea66396c227bd429a3251c8cbc711002ba215bfc226,113292,11861998326,108
033d8656219478701227199cbd6f670335c8d408a92ae88b962c49d4dc0e83e025,639890,30813834412,610
03cde60a6323f7122d5178255766e38114b4722ede08f7c9e0c5df9b912cc201d6,136370,23863743334,130
030c3f19d742ca294a55c00376b3b355c3c90d61c6b6b39554dbc7ac19b141c14f,38813,7726643335,37
030995c0c0217d763c2274aa6ed69a0bb85fa2f7d118f93631550f3b6219a577f5,74479,3263766690,71
03fb822818be083e0a954db85257a2911a3d55458b8c1ea4124b157e865a836d12,26225,3370562469,25
036cb1a035eb1c7f125c004ed046d329285bd57e4100f18b577af721659becd832,2098,974907803,2
02f45a3aba49e5eb13005d5e22cd5a30eb1d1b3e330fd7ce5f5c744de3daae0908,1049,28799999,1
0204514bc5276384e2a63eb34b67878ca9b537e4ec29643ba2fc61936e909c35c8,1049,69279806,1
03c2abfa93eacec04721c019644584424aab2ba4dff3ac9bdab4e9c97007491dda,19931,1203107714,19
037cc5f9f1da20ac0d60e83989729a204a33cc2d8e80438969fadf35c1c5f1233b,20980,3785457190,20
02f1a8c87607f415c8f22c00593002775941dea48869ce23096af27b0cfdcc0b69,100704,9150213997,96
021c97a90a411ff2b10dc2a8e32de2f29d2fa49d41bfbb52bd416e460db0747d0d,80773,3136984772,77
035352d5960c7f86263e079f29707144088709332e781246b306370ca7e0a64183,74479,1383352085,71
02e4eb0ae9b0236473008caabfcf6a836f6d5f4c1a9b639d977d2772005880a37a,53499,36724632,51
02f324df7694f57b7d800d5a64f62fb226eabc8fbacb997f3ac5cd230e37944fbf,3147,978676539,3
0298f6074a454a1f5345cb2a7c6f9fce206cd0bf675d177cdbf0ca7508dd28852f,43009,5169604101,41
03f76dc93da337ca42efb5e831a2bdec8750c34d61d2c8b0c6ce3c8f31853e7d0c,1049,21200000,1
03864ef025fde8fb587d989186ce6a4a186895ee44a926bfc370e2c366597a3f8f,232878,21909153027,222
0294ac3e099def03c12a37e30fe5364b1223fd60069869142ef96580c8439c2e0a,40911,4889287646,39
039edc94987c8f3adc28dab455efc00dea876089a120f573bd0b03c40d9d3fb1e1,16784,2648316440,16
03c8dfbf829eaeb0b6dab099d87fdf7f8faceb0c1b935cd243e8c1fb5af71361cf,46156,384621324,44
022755c3ff4e5a1d71f573cda4b315887fc00a9e5c9ea9a847d939f3e517e69a70,53499,2369581964,51
035f5236d7e6c6d16107c1f86e4514e6ccdd6b2c13c2abc1d7a83cd26ecb4c1d0e,204555,10081621683,195
03fce165537aea120bffe8505876b44d5119354f825b3eac329b761fc5636bf334,83920,1826195294,80
026db2cbf3d8ab4a4c01eed2df432d20cf0a13136402097574209d2595cb9e9d93,69234,673489156,66
02530bf9cd43ebf3d32867708735b9d5c8f96af143f5f08be5bc2b7fe47a3d81c3,18882,2833294679,18
02247d9db0dfafea745ef8c9e161eb322f73ac3f8858d8730b6fd97254747ce76b,22029,2076713763,21
03a503d8e30f2ff407096d235b5db63b4fcf3f89a653acb6f43d3fc492a7674019,8392,810922489,8
02c43a8c5dd024c4d3c5be5612347f87cf90d79e5c2417861908d25f72046354c3,55597,294955862,53
0288be11d147e1525f7f234f304b094d6627d2c70f3313d7ba3696887b261c4447,10490,3174814729,10
0242a4ae0c5bef18048fbecf995094b74bfb0f7391418d71ed394784373f41e4f3,30421,3532087822,29
0202e7727ee46d943a44c7bf0dce14220a839630dee67d03446bf935178b55a0df,12588,2257556274,12
03bc9337c7a28bb784d67742ebedd30a93bacdf7e4ca16436ef3798000242b2251,39862,2923230283,38
0303a518845db99994783f606e6629e705cfaf072e5ce9a4d8bf9e249de4fbd019,240221,3489955677,229
031c7ecff228dfe6054307ee49c8616998af5f8d4436f13c07d211aeb6c0ec87f7,124831,1205732524,119
03886b18969fd197358b66b6ab9bac2d5e32bb4e5157925bc0292acb3893a47237,54548,152702686,52
0357e5f534fdac4c38f0d26c4905f08a8baef268081215845ddfdf1719dc2485c0,1049,63772979,1
033e9ce4e8f0e68f7db49ffb6b9eecc10605f3f3fcb3c630545887749ab515b9c7,54548,9208389517,52
03df3f0a2fd6bea5429a596461ce784c922b2981ada1af89cfefcd9ccfb16c16a7,7343,554325800,7
0395aaee9bdab2d1145c44119bdeb7f88e7b9120dbd34367a0e9d7438b4f8dc282,2098,22477129,2
023d49fd88692d4d1f366ee8ffa9dfe979c2266b036b440928e86cf3abe28d1894,5245,1110222870,5
02b7723e37f3990e7e3702ecca65871f8733c20481df34a1c7a2e2efbf2e35e417,1049,24531009,1
02c91d6aa51aa940608b497b6beebcb1aec05be3c47704b682b3889424679ca490,23078,3590365131,22
02b9d874b1152221ed407a9bac39d60f1287cd43148ca4ff55fbfdca3eedad52db,1049,15900000,1
03977a81804ebf58db4aab2b32e747471d96da9ae65c31e6805250e9ef68a7a72e,3147,124500000,3
038fe1bd966b5cb0545963490c631eaa1924e2c4c0ea4e7dcb5d4582a1e7f2f1a5,40911,4320799852,39
