node,total_fee,capacity,routed_payments
5,44032,32000000,43
1,52224,52000000,51
0,168960,438000000,165
2,642048,374000000,627
3,403456,154000000,394
8,198656,158000000,194
17,178176,88000000,174
21,15360,42000000,15
7,184320,174000000,180
321,4096,22000000,4
117,8192,42000000,8
40,44032,22000000,43
16,48128,38000000,47
41,97280,62000000,95
31,52224,30000000,51
8701,1024,4000000,1
1086,3072,6000000,3
823,4096,14000000,4
437,5120,34000000,5
420,7168,14000000,7
305,7168,20000000,7
23,63488,158000000,62
32,11264,80000000,11
110,4096,28000000,4
697,1024,18000000,1
228,17408,60000000,17
163,31744,108000000,31
375,1024,10000000,1
610,1024,10000000,1
961,1024,6000000,1
94,2048,20000000,2
58,4096,62000000,4
20,39936,204000000,39
170,4096,22000000,4
915,3072,6000000,3
1341,3072,4000000,3
2132,3072,8000000,3
2261,1024,18000000,1
77,35840,144000000,35
27,100352,110000000,98
4,169984,78000000,166
152,20480,18000000,20
213,10240,52000000,10
336,8192,32000000,8
337,8192,14000000,8
42,30720,68000000,30
455,5120,28000000,5
580,3072,38000000,3
60,30720,52000000,30
186,11264,82000000,11
1334,1024,10000000,1
480,4096,16000000,4
298,4096,6000000,4
148,4096,24000000,4
36,6144,26000000,6
361,2048,32000000,2
299,5120,52000000,5
136,15360,14000000,15
116,15360,32000000,15
745,3072,38000000,3
764,2048,6000000,2
1747,1024,6000000,1
62,71680,10000000,70
84,65536,66000000,64
92,35840,34000000,35
190,12288,16000000,12
470,9216,8000000,9
497,8192,24000000,8
1076,3072,28000000,3
3049,1024,6000000,1
153,7168,26000000,7
1292,1024,6000000,1
521,1024,20000000,1
143,5120,18000000,5
22,9216,54000000,9
34,5120,28000000,5
4412,1024,4000000,1
5174,1024,4000000,1
658,3072,20000000,3
330,8192,24000000,8
25,38912,166000000,38
108,3072,22000000,3
6,29696,48000000,29
35,25600,48000000,25
274,5120,92000000,5
291,1024,8000000,1
37,13312,16000000,13
75,9216,26000000,9
842,1024,10000000,1
1983,1024,6000000,1
2745,2048,8000000,2
233,24576,64000000,24
19,29696,134000000,29
802,1024,24000000,1
1628,1024,6000000,1
2256,1024,4000000,1
853,1024,12000000,1
566,1024,4000000,1
155,18432,98000000,18
65,37888,56000000,37
169,6144,38000000,6
111,1024,16000000,1
293,8192,70000000,8
256,4096,36000000,4
2081,2048,12000000,2
2561,1024,10000000,1
14,1024,32000000,1
285,5120,26000000,5
558,3072,10000000,3
220,2048,26000000,2
13,24576,34000000,24
86,11264,96000000,11
134,5120,16000000,5
329,1024,40000000,1
472,1024,8000000,1
492,3072,10000000,3
10907,1024,4000000,1
1238,1024,10000000,1
498,1024,18000000,1
618,1024,10000000,1
1078,1024,10000000,1
246,1024,20000000,1
1819,1024,18000000,1
11,11264,18000000,11
729,1024,18000000,1
4112,1024,6000000,1
354,10240,44000000,10
485,8192,28000000,8
933,1024,30000000,1
403,2048,50000000,2
2047,1024,6000000,1
85,14336,144000000,14
118,1024,4000000,1
221,1024,12000000,1
95,12288,34000000,12
202,8192,32000000,8
208,4096,36000000,4
29,6144,24000000,6
531,1024,10000000,1
1741,1024,10000000,1
244,1024,36000000,1
6429,1024,4000000,1
1165,1024,8000000,1
1582,1024,4000000,1
73,8192,34000000,8
76,8192,10000000,8
514,4096,30000000,4
1038,2048,8000000,2
2811,2048,8000000,2
54,2048,14000000,2
466,1024,16000000,1
74,1024,24000000,1
281,1024,16000000,1
123,5120,8000000,5
30,7168,32000000,7
179,3072,32000000,3
189,1024,6000000,1
8989,1024,4000000,1
130,8192,20000000,8
78,14336,54000000,14
2037,2048,6000000,2
1567,2048,10000000,2
99,4096,40000000,4
3419,1024,8000000,1
2967,1024,4000000,1
339,4096,4000000,4
9,11264,100000000,11
128,4096,30000000,4
319,5120,54000000,5
141,7168,22000000,7
51,4096,8000000,4
3235,1024,8000000,1
2380,1024,10000000,1
1505,1024,10000000,1
6469,1024,6000000,1
934,2048,14000000,2
1073,1024,10000000,1
7047,1024,4000000,1
772,3072,16000000,3
1348,1024,24000000,1
2979,1024,6000000,1
2992,1024,12000000,1
2946,1024,4000000,1
2243,1024,4000000,1
947,1024,6000000,1
939,1024,10000000,1
70,1024,20000000,1
628,2048,6000000,2
2393,1024,8000000,1
196,3072,6000000,3
686,2048,24000000,2
483,7168,16000000,7
2785,1024,4000000,1
127,2048,38000000,2
1202,1024,6000000,1
611,3072,16000000,3
508,3072,28000000,3
1001,3072,14000000,3
205,3072,48000000,3
708,1024,20000000,1
2368,1024,8000000,1
2274,1024,4000000,1
390,1024,16000000,1
121,4096,62000000,4
1528,2048,14000000,2
3162,1024,18000000,1
214,4096,28000000,4
740,1024,20000000,1
389,2048,18000000,2
1988,2048,8000000,2
242,7168,18000000,7
685,3072,16000000,3
2079,1024,4000000,1
234,1024,12000000,1
212,6144,46000000,6
1787,1024,6000000,1
328,1024,26000000,1
366,3072,22000000,3
1006,2048,16000000,2
79,5120,56000000,5
9416,1024,6000000,1
4027,1024,4000000,1
2699,1024,12000000,1
144,2048,20000000,2
1123,1024,14000000,1
3612,1024,14000000,1
241,1024,12000000,1
182,2048,30000000,2
1087,2048,22000000,2
3139,1024,8000000,1
1002,2048,6000000,2
9734,1024,6000000,1
2564,2048,6000000,2
1843,2048,4000000,2
168,3072,32000000,3
166,7168,8000000,7
487,7168,20000000,7
605,5120,40000000,5
1663,2048,4000000,2
2417,2048,10000000,2
4121,1024,4000000,1
103,3072,14000000,3
515,1024,26000000,1
290,4096,38000000,4
3110,1024,16000000,1
370,1024,10000000,1
796,1024,20000000,1
1124,1024,4000000,1
1163,1024,14000000,1
142,6144,18000000,6
2280,1024,14000000,1
2821,1024,10000000,1
456,3072,18000000,3
5390,1024,4000000,1
1809,1024,20000000,1
1625,1024,4000000,1
600,1024,14000000,1
251,2048,10000000,2
494,3072,28000000,3
1921,2048,6000000,2
2997,1024,8000000,1
646,1024,14000000,1
24,1024,10000000,1
836,1024,8000000,1
135,2048,14000000,2
1054,2048,14000000,2
523,1024,10000000,1
156,1024,8000000,1
63,2048,16000000,2
279,1024,32000000,1
289,1024,6000000,1
603,1024,14000000,1
425,4096,48000000,4
503,3072,12000000,3
489,2048,14000000,2
1451,1024,4000000,1
2200,1024,14000000,1
4220,1024,6000000,1
55,2048,14000000,2
1870,1024,10000000,1
954,1024,10000000,1
4200,1024,6000000,1
1169,1024,26000000,1
769,2048,16000000,2
616,4096,12000000,4
512,6144,16000000,6
638,3072,12000000,3
1718,1024,10000000,1
4785,2048,10000000,2
1541,2048,16000000,2
1617,1024,8000000,1
229,1024,36000000,1
1698,1024,22000000,1
384,3072,12000000,3
267,4096,38000000,4
1191,2048,16000000,2
449,2048,24000000,2
3948,1024,16000000,1
57,1024,10000000,1
1848,1024,6000000,1
4817,1024,4000000,1
8095,1024,4000000,1
2547,2048,10000000,2
3846,1024,8000000,1
436,1024,28000000,1
1306,2048,42000000,2
219,3072,16000000,3
733,2048,4000000,2
1297,1024,18000000,1
5153,1024,4000000,1
3362,1024,10000000,1
132,2048,48000000,2
499,1024,18000000,1
1405,1024,8000000,1
1789,1024,6000000,1
1702,1024,12000000,1
1549,1024,6000000,1
789,1024,24000000,1
1167,1024,6000000,1
2420,1024,8000000,1
2923,1024,6000000,1
4096,1024,6000000,1
369,1024,34000000,1
1407,1024,14000000,1
295,1024,42000000,1
1359,2048,22000000,2
98,1024,14000000,1
2122,1024,8000000,1
3269,1024,6000000,1
161,5120,26000000,5
300,1024,38000000,1
400,3072,34000000,3
210,1024,20000000,1
1118,1024,12000000,1
2346,1024,14000000,1
1025,1024,4000000,1
1246,1024,10000000,1
3741,1024,16000000,1
2321,1024,18000000,1
714,1024,10000000,1
2151,1024,8000000,1
747,1024,12000000,1
122,3072,14000000,3
1916,1024,26000000,1
4787,1024,12000000,1
4526,1024,6000000,1
2555,1024,16000000,1
710,1024,18000000,1
90,1024,14000000,1
302,2048,14000000,2
541,2048,14000000,2
1365,2048,8000000,2
914,2048,18000000,2
3024,1024,4000000,1
137,1024,6000000,1
10,1024,10000000,1
1665,1024,14000000,1
4318,1024,10000000,1
88,1024,18000000,1
1484,2048,10000000,2
115,3072,52000000,3
2667,1024,10000000,1
588,1024,12000000,1
100,2048,16000000,2
1829,1024,10000000,1
2597,1024,6000000,1
3136,1024,8000000,1
2729,1024,4000000,1
4132,1024,4000000,1
105,2048,4000000,2
2887,1024,12000000,1
4944,1024,4000000,1
1040,1024,14000000,1
4421,1024,4000000,1
563,1024,20000000,1
175,1024,18000000,1
2284,1024,4000000,1
1554,1024,16000000,1
71,1024,62000000,1
656,1024,20000000,1
1324,1024,8000000,1
452,1024,28000000,1
889,2048,18000000,2
312,2048,38000000,2
238,2048,24000000,2
1278,1024,14000000,1
2098,1024,18000000,1
1033,1024,4000000,1
1034,1024,18000000,1
1552,1024,18000000,1
2331,1024,12000000,1
1216,1024,28000000,1
47,3072,26000000,3
1764,1024,18000000,1
5545,1024,4000000,1
10239,1024,4000000,1
935,1024,4000000,1
3727,1024,6000000,1
129,1024,18000000,1
188,1024,46000000,1
6470,1024,6000000,1
1172,1024,6000000,1
6018,1024,6000000,1
925,1024,6000000,1
2378,1024,8000000,1
2359,1024,6000000,1
1455,1024,16000000,1
1184,1024,8000000,1
4282,1024,4000000,1
3119,1024,6000000,1
2369,1024,4000000,1
631,1024,10000000,1
1358,1024,10000000,1
930,2048,10000000,2
1007,1024,6000000,1
1330,1024,6000000,1
269,2048,18000000,2
1153,1024,10000000,1
184,1024,48000000,1
2293,1024,4000000,1
1656,1024,12000000,1
765,1024,14000000,1
395,1024,10000000,1
383,4096,20000000,4
693,4096,16000000,4
1255,1024,4000000,1
482,1024,18000000,1
1831,1024,12000000,1
752,2048,8000000,2
4101,2048,4000000,2
1125,1024,16000000,1
808,1024,10000000,1
5315,1024,4000000,1
39,1024,34000000,1
2270,1024,12000000,1
