node,total_fee,capacity,routed_payments
033e9ce4e8f0e68f7db49ffb6b9eecc10605f3f3fcb3c630545887749ab515b9c7,40911,9208389517,39
03cde60a6323f7122d5178255766e38114b4722ede08f7c9e0c5df9b912cc201d6,100704,23863743334,96
03abf6f44c355dec0d5aa155bdbdd6e0c8fefe318eff402de65c6eb2e1be55dc3e,5245,2273505592,5
033d8656219478701227199cbd6f670335c8d408a92ae88b962c49d4dc0e83e025,194065,30813834412,185
02c10ada6c6bed574f216d4decb799743921da2ed13dc51c410bc9559c1f90acb9,6294,1349052261,6
0303a518845db99994783f606e6629e705cfaf072e5ce9a4d8bf9e249de4fbd019,13637,3489955677,13
037cc5f9f1da20ac0d60e83989729a204a33cc2d8e80438969fadf35c1c5f1233b,6294,3785457190,6
03864ef025fde8fb587d989186ce6a4a186895ee44a926bfc370e2c366597a3f8f,80773,21909153027,77
0298f6074a454a1f5345cb2a7c6f9fce206cd0bf675d177cdbf0ca7508dd28852f,22029,5169604101,21
035715b716b8d61b31992256194f119e1cd7f86b5a15f66ca4cc3798d341d6a99a,1049,385598528,1
028a8e53d70bc0eb7b5660943582f10b7fd6c727a78ad819ba8d45d6a638432c49,5245,2474706561,5
03d37fca0656558de4fd86bbe490a38d84a46228e7ec1361801f54f9437a18d618,4196,1591080525,4
0326e692c455dd554c709bbb470b0ca7e0bb04152f777d1445fd0bf3709a2833a3,5245,1856983234,5
038fe1bd966b5cb0545963490c631eaa1924e2c4c0ea4e7dcb5d4582a1e7f2f1a5,12588,4320799852,12
03746b93e0b94463624bb28eafa38f3d71b4c80df61a0f10c6340b54f56675487c,8392,970424980,8
035b710d2c8d25993ddcbe031c0fee5434d5e6fb7a6ed5d438404daa99199537b8,1049,220723474,1
039f0ad37eef3e1813ebe825d2d91908914a2c3ec1b2047fda6a9fedce3a6f63dc,26225,3176952687,25
022755c3ff4e5a1d71f573cda4b315887fc00a9e5c9ea9a847d939f3e517e69a70,8392,2369581964,8
034ea80f8b148c750463546bd999bf7321a0e6dfc60aaf84bd0400a2e8d376c0d5,36715,10952708000,35
03fb822818be083e0a954db85257a2911a3d55458b8c1ea4124b157e865a836d12,11539,3370562469,11
035e4ff418fc8b5554c5d9eea66396c227bd429a3251c8cbc711002ba215bfc226,57695,11861998326,55
03c48fd743bfcaffe5270b034d8c2a037e56d3e38d4146fc04946cc64b3b885574,1049,17000001,1
030c3f19d742ca294a55c00376b3b355c3c90d61c6b6b39554dbc7ac19b141c14f,11539,7726643335,11
036cb1a035eb1c7f125c004ed046d329285bd57e4100f18b577af721659becd832,3147,974907803,3
02f45a3aba49e5eb13005d5e22cd5a30eb1d1b3e330fd7ce5f5c744de3daae0908,1049,28799999,1
031ce29116eab7edd66148f5169f1fb658fad62bdc5091221ab895fe5d36db00b2,4196,2162969394,4
0230a5bca558e6741460c13dd34e636da28e52afd91cf93db87ed1b0392a7466eb,4196,2111241775,4
02530bf9cd43ebf3d32867708735b9d5c8f96af143f5f08be5bc2b7fe47a3d81c3,20980,2833294679,20
02f72978d40efeffca537139ad6ac9f09970c000a2dbc0d7aa55a71327c4577a80,4196,1456637157,4
02f1a8c87607f415c8f22c00593002775941dea48869ce23096af27b0cfdcc0b69,61891,9150213997,59
0245f703677f3c4066ee684caa3cbec90aef082542009f000186f1e455017169cc,1049,557226872,1
032a54b1e9cd2ff8ec5f58915a749cf074e957006e8b4da9c8497fed4b6c6f88dc,1049,526802248,1
0311cad0edf4ac67298805cf4407d94358ca60cd44f2e360856f3b1c088bcd4782,7343,2207114521,7
035f5236d7e6c6d16107c1f86e4514e6ccdd6b2c13c2abc1d7a83cd26ecb4c1d0e,67136,10081621683,64
03dab87ff8635982815c4567eb58af48f9944d11c56beb12b91e1049aaea06e187,9441,2355943028,9
03d06758583bb5154774a6eb221b1276c9e82d65bbaceca806d90e20c108f4b1c7,23078,3526594640,22
03c5528c628681aa17ab9e117aa3ee6f06c750dfb17df758ecabcd68f1567ad8c1,1049,1306637550,1
0339c7351f76d1c5a2a407f9c57cde096857b8374b3eb6ff023cafc9a634d7bd64,1049,318221921,1
021c97a90a411ff2b10dc2a8e32de2f29d2fa49d41bfbb52bd416e460db0747d0d,18882,3136984772,18
0260fab633066ed7b1d9b9b8a0fac87e1579d1709e874d28a0d171a1f5c43bb877,18882,7211916172,18
0288be11d147e1525f7f234f304b094d6627d2c70f3313d7ba3696887b261c4447,22029,3174814729,21
020a3dce2dab038955eb435a8342e4fe897304015314485d3738d5f41eccb47859,3147,1150013477,3
