node,total_fee,capacity,routed_payments
033e9ce4e8f0e68f7db49ffb6b9eecc10605f3f3fcb3c630545887749ab515b9c7,53725,9208389517,153
03cde60a6323f7122d5178255766e38114b4722ede08f7c9e0c5df9b912cc201d6,163090,23863743334,123
03c2abfa93eacec04721c019644584424aab2ba4dff3ac9bdab4e9c97007491dda,8640,1203107714,9
035f5236d7e6c6d16107c1f86e4514e6ccdd6b2c13c2abc1d7a83cd26ecb4c1d0e,48402,10081621683,187
02d0e03736cbfc73f3c005bc3770327df0e84bd69bc8e557c279887344deb8bce2,2352,707074517,3
033d8656219478701227199cbd6f670335c8d408a92ae88b962c49d4dc0e83e025,369029,30813834412,232
031c7ecff228dfe6054307ee49c8616998af5f8d4436f13c07d211aeb6c0ec87f7,5658,1205732524,14
0303a518845db99994783f606e6629e705cfaf072e5ce9a4d8bf9e249de4fbd019,13476,3489955677,45
03da1c27ca77872ac5b3e568af30673e599a47a5e4497f85c7b5da42048807b3ed,12610,2825495195,19
024d2387409269f3b79e2708bb39b895c9f4b6a8322153af54eba487d4993bf60f,1342,1947352882,23
03dc686001f9b1ff700dfb8917df70268e1919433a535e1fb0767c19223509ab57,38222,1017676231,26
038fe1bd966b5cb0545963490c631eaa1924e2c4c0ea4e7dcb5d4582a1e7f2f1a5,12110,4320799852,70
0298f6074a454a1f5345cb2a7c6f9fce206cd0bf675d177cdbf0ca7508dd28852f,21000,5169604101,37
03458488e1b981163acc6f07cc15ce94478ff0a8b773097cf1526abe9bda4d78fc,2305,98104215,1
035715b716b8d61b31992256194f119e1cd7f86b5a15f66ca4cc3798d341d6a99a,2335,385598528,2
027ce055380348d7812d2ae7745701c9f93e70c1adeb2657f053f91df4f2843c71,23232,2951001562,9
03fb822818be083e0a954db85257a2911a3d55458b8c1ea4124b157e865a836d12,3213,3370562469,77
03d37fca0656558de4fd86bbe490a38d84a46228e7ec1361801f54f9437a18d618,1026,1591080525,7
034ea80f8b148c750463546bd999bf7321a0e6dfc60aaf84bd0400a2e8d376c0d5,8474,10952708000,52
03746b93e0b94463624bb28eafa38f3d71b4c80df61a0f10c6340b54f56675487c,3011,970424980,8
0395a7b27c7597efab6af5806081e6f4d9e65003b100b6d6ace892bcfdbcb5e741,11529,2623875215,64
026165850492521f4ac8abd9bd8088123446d126f648ca35e60f88177dc149ceb2,34857,3836771385,152
037f990e61acee8a7697966afd29dd88f3b1f8a7b14d625c4f8742bd952003a590,55902,2935109064,137
0326e692c455dd554c709bbb470b0ca7e0bb04152f777d1445fd0bf3709a2833a3,7310,1856983234,3
035b710d2c8d25993ddcbe031c0fee5434d5e6fb7a6ed5d438404daa99199537b8,2002,220723474,2
039f0ad37eef3e1813ebe825d2d91908914a2c3ec1b2047fda6a9fedce3a6f63dc,31176,3176952687,26
03037dc08e9ac63b82581f79b662a4d0ceca8a8ca162b1af3551595b8f2d97b70a,33103,9754514914,25
03dd09855c3634daa5c7de0146f4d54eb395b51ae422bc86ee1132a0d7ed50e720,11011,1150369993,11
