node,total_fee,capacity,routed_payments
03fce165537aea120bffe8505876b44d5119354f825b3eac329b761fc5636bf334,41085,1826195294,33
033d8656219478701227199cbd6f670335c8d408a92ae88b962c49d4dc0e83e025,1391910,30813834412,1118
035f5236d7e6c6d16107c1f86e4514e6ccdd6b2c13c2abc1d7a83cd26ecb4c1d0e,301290,10081621683,242
022c260f9ad58196af280c80a96ec9eabf6404df59ff1a7553b0f381c875a29ba0,12450,2593056270,10
03cde60a6323f7122d5178255766e38114b4722ede08f7c9e0c5df9b912cc201d6,624990,23863743334,502
033e9ce4e8f0e68f7db49ffb6b9eecc10605f3f3fcb3c630545887749ab515b9c7,181770,9208389517,146
03864ef025fde8fb587d989186ce6a4a186895ee44a926bfc370e2c366597a3f8f,201690,21909153027,162
02150e753d33ecf6d2de4173cc1ce941d9bf8900de7f4407ac3df5e078df91dcce,1245,408173748,1
0288be11d147e1525f7f234f304b094d6627d2c70f3313d7ba3696887b261c4447,11205,3174814729,9
03da1c27ca77872ac5b3e568af30673e599a47a5e4497f85c7b5da42048807b3ed,74700,2825495195,60
03fb822818be083e0a954db85257a2911a3d55458b8c1ea4124b157e865a836d12,77190,3370562469,62
0294ac3e099def03c12a37e30fe5364b1223fd60069869142ef96580c8439c2e0a,43575,4889287646,35
0326e692c455dd554c709bbb470b0ca7e0bb04152f777d1445fd0bf3709a2833a3,3735,1856983234,3
021c97a90a411ff2b10dc2a8e32de2f29d2fa49d41bfbb52bd416e460db0747d0d,33615,3136984772,27
03bc9337c7a28bb784d67742ebedd30a93bacdf7e4ca16436ef3798000242b2251,74700,2923230283,60
0325bb9bda523a85dc834b190289b7e25e8d92615ab2f2abffbe97983f0bb12ffb,14940,1851653439,12
034ea80f8b148c750463546bd999bf7321a0e6dfc60aaf84bd0400a2e8d376c0d5,87150,10952708000,70
0303a518845db99994783f606e6629e705cfaf072e5ce9a4d8bf9e249de4fbd019,34860,3489955677,28
02f1a8c87607f415c8f22c00593002775941dea48869ce23096af27b0cfdcc0b69,90885,9150213997,73
028d98b9969fbed53784a36617eb489a59ab6dc9b9d77fcdca9ff55307cd98e3c4,27390,4784669239,22
035e4ff418fc8b5554c5d9eea66396c227bd429a3251c8cbc711002ba215bfc226,62250,11861998326,50
039f0ad37eef3e1813ebe825d2d91908914a2c3ec1b2047fda6a9fedce3a6f63dc,18675,3176952687,15
03d06758583bb5154774a6eb221b1276c9e82d65bbaceca806d90e20c108f4b1c7,22410,3526594640,18
02fb22354383c240f9a04b194d610186cdec1045d961cb7989f254cb7c96498ab5,79680,973086075,64
02816caed43171d3c9854e3b0ab2cf0c42be086ff1bd4005acc2a5f7db70d83774,3735,2528348888,3
036b53093df5a932deac828cca6d663472dbc88322b05eec1d42b26ab9b16caa1c,17430,4211950726,14
030995c0c0217d763c2274aa6ed69a0bb85fa2f7d118f93631550f3b6219a577f5,12450,3263766690,10
02c91d6aa51aa940608b497b6beebcb1aec05be3c47704b682b3889424679ca490,8715,3590365131,7
02c1321de5a127023115b90f33ae1244349269f5d18d3ea4014be697e700c07ccc,21165,1858821928,17
028a8e53d70bc0eb7b5660943582f10b7fd6c727a78ad819ba8d45d6a638432c49,14940,2474706561,12
031ce29116eab7edd66148f5169f1fb658fad62bdc5091221ab895fe5d36db00b2,3735,2162969394,3
020a3dce2dab038955eb435a8342e4fe897304015314485d3738d5f41eccb47859,2490,1150013477,2
039edc94987c8f3adc28dab455efc00dea876089a120f573bd0b03c40d9d3fb1e1,48555,2648316440,39
02530bf9cd43ebf3d32867708735b9d5c8f96af143f5f08be5bc2b7fe47a3d81c3,7470,2833294679,6
03e5ea100e6b1ef3959f79627cb575606b19071235c48b3e7f9808ebcd6d12e87d,2490,1967574871,2
03d607f3e69fd032524a867b288216bfab263b6eaee4e07783799a6fe69bb84fac,8715,6246588652,7
02bb24da3d0fb0793f4918c7599f973cc402f0912ec3fb530470f1fc08bdd6ecb5,29880,2952896780,24
03a2ea4a43bd4d8a56b41c03ea8f6e14faf2357c94d28871e881f50076e9fac133,9960,275254234,8
0260fab633066ed7b1d9b9b8a0fac87e1579d1709e874d28a0d171a1f5c43bb877,6225,7211916172,5
030c3f19d742ca294a55c00376b3b355c3c90d61c6b6b39554dbc7ac19b141c14f,3735,7726643335,3
03b006c37dfb8681e5db9f513386d06c9d18bd514fae5d79a7ed2d5991c7d57330,2490,3290555928,2
037f990e61acee8a7697966afd29dd88f3b1f8a7b14d625c4f8742bd952003a590,11205,2935109064,9
03d1e805c38257b713340049745ff5a15d9ee5d733517a1d48a956815c9482055c,2490,2493292371,2
037cc5f9f1da20ac0d60e83989729a204a33cc2d8e80438969fadf35c1c5f1233b,7470,3785457190,6
02de11c748f5b25cfd2ce801176d3926bfde4de23b1ff43e692a5b76cf06805e4a,3735,2997239653,3
0390b5d4492dc2f5318e5233ab2cebf6d48914881a33ef6a9c6bcdbb433ad986d0,2490,2696328803,2
