ranking,copied_node,new_fees,delta,perc_delta
0,03d607f3e69fd032524a867b288216bfab263b6eaee4e07783799a6fe69bb84fac,27440366,-24800275,-47.47314451980021
1,02e9046555a9665145b0dbd7f135744598418df7d61d3660659641886ef1274844,18248333,-33992308,-65.06870388516099
2,02fe80fb6a2dc0fb6e9bec49c76d048889c91355d4e900fcb026bf095665790325,1740236,-50500405,-96.66880810287148
3,036b53093df5a932deac828cca6d663472dbc88322b05eec1d42b26ab9b16caa1c,0,-52240641,-100.0
4,029fe435040c8b665f731f2b0c81d039238ef1e3a1b1de0afac2b476361a26d675,10428980,-41811661,-80.03665383814874
5,025e9497188d33af48bb15cfc3cd6d7c549eed05b5f54d45615d3cb7ec3b562588,39833552,-12407089,-23.749878949609368
6,02b7291fcf57fd64cb9610beedf37eac46212762608813ccf8090520701b94ae62,1483620,-50757021,-97.16002719032487
7,030e7d77f4012c809e4bcd0701e7d50b3a0869679f328e325e222ae56acabc74b2,64360218,12119577,23.199518168239933
8,0299797daa21faa6e4151517b286c41d4c7a8cb21fbfba59ca3bcd21a9f8392bd4,5036859,-47203782,-90.35835146050371
9,03b006c37dfb8681e5db9f513386d06c9d18bd514fae5d79a7ed2d5991c7d57330,36901466,-15339175,-29.362532132789106
