ranking,copied_node,new_fees,delta,perc_delta
0,03864ef025fde8fb587d989186ce6a4a186895ee44a926bfc370e2c366597a3f8f,0,-763850,-100.0
1,033d8656219478701227199cbd6f670335c8d408a92ae88b962c49d4dc0e83e025,969936,206086,26.97990443149833
2,0260fab633066ed7b1d9b9b8a0fac87e1579d1709e874d28a0d171a1f5c43bb877,252873,-510977,-66.89494010604176
3,02a04446caa81636d60d63b066f2814cbd3a6b5c258e3172cbdded7a16e2cfff4c,843918,80068,10.482162728284349
4,024d2387409269f3b79e2708bb39b895c9f4b6a8322153af54eba487d4993bf60f,821474,57624,7.54388950710218
5,03271338633d2d37b285dae4df40b413d8c6c791fbee7797bc5dc70812196d7d5c,724588,-39262,-5.140014400733128
6,038525acf733137b782116669f512116f717d4cddcd065cb4f9da73aa653794d46,500912,-262938,-34.422726975191466
7,02004c625d622245606a1ea2c1c69cfb4516b703b47945a3647713c05fe4aaeb1c,638738,-125112,-16.379132028539633
8,021744d86987a91958461117cd9e7c0e3160f7b86de11f5998018f4b4984a5c330,311887,-451963,-59.16907769850101
9,03bc9337c7a28bb784d67742ebedd30a93bacdf7e4ca16436ef3798000242b2251,639590,-124260,-16.267591804673692
