ranking,copied_node,new_fees,delta,perc_delta
0,026165850492521f4ac8abd9bd8088123446d126f648ca35e60f88177dc149ceb2,2680,-201570,-98.68788249694002
1,03df3f0a2fd6bea5429a596461ce784c922b2981ada1af89cfefcd9ccfb16c16a7,256540,52290,25.600979192166463
2,03c8dfbf829eaeb0b6dab099d87fdf7f8faceb0c1b935cd243e8c1fb5af71361cf,82100,-122150,-59.804161566707464
3,0377f626255c4b6938becd925bcc422cf2662bfa03df7008b5dfd7356db50d2bef,39500,-164750,-80.6609547123623
4,025f1456582e70c4c06b61d5c8ed3ce229e6d0db538be337a2dc6d163b0ebc05a5,245418,41168,20.155691554467563
5,03da1c27ca77872ac5b3e568af30673e599a47a5e4497f85c7b5da42048807b3ed,3150,-201100,-98.4577723378213
6,033d9e73a183c9714545f292875fb90c4372bddc9c2cc302b265d15e7969a5ed60,9650,-194600,-95.27539779681763
7,02ee6c2cd1a8abf7eec1fc55f8fa41d307e216c9738ae743ba72f86007d9c6a179,82280,-121970,-59.716034271725825
8,024271a1be2d7a3e2a276b241257be734d843885d252f50575e4c7db2691aedd3a,0,-204250,-100.0
9,02529db69fd2ebd3126fb66fafa234fc3544477a23d509fe93ed229bb0e92e4fb8,0,-204250,-100.0
