ranking,copied_node,new_fees,delta,perc_delta
0,02f1a8c87607f415c8f22c00593002775941dea48869ce23096af27b0cfdcc0b69,0,-3261482,-100.0
1,037659a0ac8eb3b8d0a720114efc861d3a940382dcfa1403746b4f8f6b2e8810ba,830530,-2430952,-74.5351959630622
2,02c91d6aa51aa940608b497b6beebcb1aec05be3c47704b682b3889424679ca490,3108570,-152912,-4.688420785397558
3,025f1456582e70c4c06b61d5c8ed3ce229e6d0db538be337a2dc6d163b0ebc05a5,3610100,348618,10.688944473708577
4,035352d5960c7f86263e079f29707144088709332e781246b306370ca7e0a64183,3235850,-25632,-0.7859003974266913
5,0311cad0edf4ac67298805cf4407d94358ca60cd44f2e360856f3b1c088bcd4782,3287817,26335,0.8074550158486234
6,03ceeaec6cb017d1ea8ad04a5dfb3facb24a28399d24624ecce8f319973de361d9,2920060,-341422,-10.468308578738132
7,02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,3236211,-25271,-0.7748318095884018
8,0328e09c4ed5c56fc80699b10eb47b260cb060e37716bc58fd93ab00d3e39fa60d,3695500,434018,13.30738602880531
9,037f990e61acee8a7697966afd29dd88f3b1f8a7b14d625c4f8742bd952003a590,3465420,203938,6.252924284113786
