ranking,copied_node,new_fees,delta,perc_delta
0,03abf6f44c355dec0d5aa155bdbdd6e0c8fefe318eff402de65c6eb2e1be55dc3e,7368241,6343834,619.2689038634059
1,03cfea6e01d8735d29863d0ecc0f637e5da25c3afb1894e6cb1c25cc9c52dbceef,2072101,1047694,102.27321757856008
2,03224c97588dda56a63e881c4f522ffd746a2f3b3cbfe4790e38c64ce263d6f6f9,455782,-568625,-55.507723004626094
3,030995c0c0217d763c2274aa6ed69a0bb85fa2f7d118f93631550f3b6219a577f5,1582040,557633,54.43471198459206
4,03d1e805c38257b713340049745ff5a15d9ee5d733517a1d48a956815c9482055c,349771,-674636,-65.85624658949031
5,0337694505123a12a8fadd95523dcc235898ad3b80a06e4a63ca26fed68dd0d17c,2081173,1056766,103.15880309291131
6,0318ac9faa9629e7da08819bc8fe0dd2ae3044d69b1b2283a63479acffeb968483,2385945,1361538,132.90986883143125
7,035f5236d7e6c6d16107c1f86e4514e6ccdd6b2c13c2abc1d7a83cd26ecb4c1d0e,0,-1024407,-100.0
8,02159f4a5a9204cceb648e7a051864fafb1b42d7e4a09102e6667bb726618c80a0,2348653,1324246,129.26951885334637
9,02343a10733a5a42a1d4a2474dcea92fb401bc93c52902f96fe533c8ab8a568131,825858,-198549,-19.381847254069914
