ranking,copied_node,new_fees,delta,perc_delta
0,033d8656219478701227199cbd6f670335c8d408a92ae88b962c49d4dc0e83e025,0,-115995897,-100.0
1,02f1a8c87607f415c8f22c00593002775941dea48869ce23096af27b0cfdcc0b69,37799500,-78196397,-67.4130715157968
2,03cde60a6323f7122d5178255766e38114b4722ede08f7c9e0c5df9b912cc201d6,17529453,-98466444,-84.88786805967801
3,035e4ff418fc8b5554c5d9eea66396c227bd429a3251c8cbc711002ba215bfc226,68715016,-47280881,-40.76082191079569
4,03864ef025fde8fb587d989186ce6a4a186895ee44a926bfc370e2c366597a3f8f,17299941,-98695956,-85.08573023061324
5,039d38adaa66554f2079cea57149b85b55df35feb6a54a8bace32898558fea8a4e,98835657,-17160240,-14.79383361292512
6,034ea80f8b148c750463546bd999bf7321a0e6dfc60aaf84bd0400a2e8d376c0d5,51077546,-64918351,-55.966075248334
7,033e9ce4e8f0e68f7db49ffb6b9eecc10605f3f3fcb3c630545887749ab515b9c7,60237132,-55758765,-48.06960111701192
8,024bfaf0cabe7f874fd33ebf7c6f4e5385971fc504ef3f492432e9e3ec77e1b5cf,69586280,-46409617,-40.00970568812447
9,035f5236d7e6c6d16107c1f86e4514e6ccdd6b2c13c2abc1d7a83cd26ecb4c1d0e,65266772,-50729125,-43.73355119621171
