ranking,copied_node,new_fees,delta,perc_delta
0,033d8656219478701227199cbd6f670335c8d408a92ae88b962c49d4dc0e83e025,0,-960941,-100.0
1,02f1a8c87607f415c8f22c00593002775941dea48869ce23096af27b0cfdcc0b69,78000,-882941,-91.88295639378484
2,03cde60a6323f7122d5178255766e38114b4722ede08f7c9e0c5df9b912cc201d6,61210,-899731,-93.63020206235346
3,034ea80f8b148c750463546bd999bf7321a0e6dfc60aaf84bd0400a2e8d376c0d5,882,-960059,-99.9082149684528
4,039d38adaa66554f2079cea57149b85b55df35feb6a54a8bace32898558fea8a4e,1317054,356113,37.05877884282177
5,03864ef025fde8fb587d989186ce6a4a186895ee44a926bfc370e2c366597a3f8f,125790,-835151,-86.90970621505379
6,033e9ce4e8f0e68f7db49ffb6b9eecc10605f3f3fcb3c630545887749ab515b9c7,283870,-677071,-70.45916450645774
7,035e4ff418fc8b5554c5d9eea66396c227bd429a3251c8cbc711002ba215bfc226,890527,-70414,-7.327609083179925
8,035f5236d7e6c6d16107c1f86e4514e6ccdd6b2c13c2abc1d7a83cd26ecb4c1d0e,718759,-242182,-25.20258788000512
9,0294ac3e099def03c12a37e30fe5364b1223fd60069869142ef96580c8439c2e0a,1032563,71622,7.453319194414641
