ranking,copied_node,new_fees,delta,perc_delta
0,02f1a8c87607f415c8f22c00593002775941dea48869ce23096af27b0cfdcc0b69,327000,236480,261.24613345117103
1,033d8656219478701227199cbd6f670335c8d408a92ae88b962c49d4dc0e83e025,0,-90520,-100.0
2,02e4971e61a3f55718ae31e2eed19aaf2e32caf3eb5ef5ff03e01aa3ada8907e78,566384,475864,525.7003977021652
3,024bfaf0cabe7f874fd33ebf7c6f4e5385971fc504ef3f492432e9e3ec77e1b5cf,207500,116980,129.2311091471498
4,03dc686001f9b1ff700dfb8917df70268e1919433a535e1fb0767c19223509ab57,183000,92480,102.16526734423331
5,0326e692c455dd554c709bbb470b0ca7e0bb04152f777d1445fd0bf3709a2833a3,131240,40720,44.98453380468405
6,03423790614f023e3c0cdaa654a3578e919947e4c3a14bf5044e7c787ebd11af1a,181560,91040,100.57445868316394
7,034ea80f8b148c750463546bd999bf7321a0e6dfc60aaf84bd0400a2e8d376c0d5,21294,-69226,-76.47591692443659
8,03864ef025fde8fb587d989186ce6a4a186895ee44a926bfc370e2c366597a3f8f,221630,131110,144.84091913389307
9,02f3d9e33a2de53e128ae1821f0cff02f7e8c9b6872d949f0ebb0c8e388bad82ac,168200,77680,85.81528943879806
