node,total_fee,capacity,routed_payments,ratio
03271338633d2d37b285dae4df40b413d8c6c791fbee7797bc5dc70812196d7d5c,3610,1328178999,13,2.718007138132742e-06
039edc94987c8f3adc28dab455efc00dea876089a120f573bd0b03c40d9d3fb1e1,8880,1657559575,18,5.357273508555492e-06
034ea80f8b148c750463546bd999bf7321a0e6dfc60aaf84bd0400a2e8d376c0d5,119930,6991857656,273,1.7152809153241722e-05
024d2387409269f3b79e2708bb39b895c9f4b6a8322153af54eba487d4993bf60f,4340,985378506,9,4.404398891972584e-06
02a04446caa81636d60d63b066f2814cbd3a6b5c258e3172cbdded7a16e2cfff4c,10,735894586,1,1.3588902799727895e-08
02572c2e1b43a78bb060e7d322b033443efc0d8d60fc2b111dd8bb999aa940d1f5,3460,205372377,3,1.6847445847111173e-05
03e5ea100e6b1ef3959f79627cb575606b19071235c48b3e7f9808ebcd6d12e87d,4100,1083822595,16,3.7829069249105294e-06
033e9ce4e8f0e68f7db49ffb6b9eecc10605f3f3fcb3c630545887749ab515b9c7,109885,5583673704,113,1.967969581053442e-05
024bfaf0cabe7f874fd33ebf7c6f4e5385971fc504ef3f492432e9e3ec77e1b5cf,84522,5981179407,202,1.4131326657929824e-05
02c91d6aa51aa940608b497b6beebcb1aec05be3c47704b682b3889424679ca490,35000,2620152586,47,1.3358000670270888e-05
03cde60a6323f7122d5178255766e38114b4722ede08f7c9e0c5df9b912cc201d6,369156,21450671256,114,1.7209531375235765e-05
03dc686001f9b1ff700dfb8917df70268e1919433a535e1fb0767c19223509ab57,35030,2798793017,33,1.2516109546946179e-05
029221ee9b72b7b1be2cb09610839bef2ea286ba1d7da9fc184731abb789a8fed0,350,247876179,4,1.4119953010894202e-06
025f1456582e70c4c06b61d5c8ed3ce229e6d0db538be337a2dc6d163b0ebc05a5,31851,1973441165,52,1.6139827507854787e-05
02fe80fb6a2dc0fb6e9bec49c76d048889c91355d4e900fcb026bf095665790325,2370,953010518,15,2.4868560789588265e-06
025a557a7b16190330a8df33730c064a7a66f0af2e8f4336485144b1423beb015f,90,57050000,1,1.5775635407537249e-06
03423790614f023e3c0cdaa654a3578e919947e4c3a14bf5044e7c787ebd11af1a,4910,1629936416,8,3.012387447634031e-06
039d38adaa66554f2079cea57149b85b55df35feb6a54a8bace32898558fea8a4e,148460,4303395876,79,3.449833672703924e-05
026165850492521f4ac8abd9bd8088123446d126f648ca35e60f88177dc149ceb2,36920,2528373390,153,1.4602273598520984e-05
03fb822818be083e0a954db85257a2911a3d55458b8c1ea4124b157e865a836d12,8170,2128794769,117,3.837852346770775e-06
02bb24da3d0fb0793f4918c7599f973cc402f0912ec3fb530470f1fc08bdd6ecb5,4040,1480931861,17,2.728012075634586e-06
03037dc08e9ac63b82581f79b662a4d0ceca8a8ca162b1af3551595b8f2d97b70a,20107,16261338532,18,1.236491077313979e-06
02247d9db0dfafea745ef8c9e161eb322f73ac3f8858d8730b6fd97254747ce76b,2120,1505042655,8,1.4085979509996015e-06
0390b5d4492dc2f5318e5233ab2cebf6d48914881a33ef6a9c6bcdbb433ad986d0,5050,1896215495,15,2.6631994165831874e-06
02f1a8c87607f415c8f22c00593002775941dea48869ce23096af27b0cfdcc0b69,34930,15042323281,12,2.322114699138276e-06
02e4971e61a3f55718ae31e2eed19aaf2e32caf3eb5ef5ff03e01aa3ada8907e78,75950,4274263109,43,1.7769144777278147e-05
02f3d9e33a2de53e128ae1821f0cff02f7e8c9b6872d949f0ebb0c8e388bad82ac,290,1239075963,3,2.3404537628013046e-07
026af41af0e3861ba170cc0eef8f45a1015125dac57c28df53752dcaeea793b28f,5650,1397206548,7,4.043782938240281e-06
022755c3ff4e5a1d71f573cda4b315887fc00a9e5c9ea9a847d939f3e517e69a70,14000,1742538584,38,8.034255383810773e-06
03d60df9d7542e4d228ca30477a9d733011eba8984b0dface98840a4d6e4da3f0d,90,34982523,1,2.5727132374071476e-06
03c0b3960023a4992b11a2d1c2a2651fee68c818ebc088866e01337f668e127a35,2300,3000000,1,0.0007666666666666667
03dab87ff8635982815c4567eb58af48f9944d11c56beb12b91e1049aaea06e187,8890,1351549690,14,6.577634596623673e-06
0250baf7a558091eb9c93f43d595b795db61bd2b55ca016d8682fd310cb1b81e6c,37320,1424400597,44,2.6200494494737987e-05
037659a0ac8eb3b8d0a720114efc861d3a940382dcfa1403746b4f8f6b2e8810ba,6310,9624846146,32,6.555948951581299e-07
02816caed43171d3c9854e3b0ab2cf0c42be086ff1bd4005acc2a5f7db70d83774,1010,581358043,1,1.737311476397687e-06
03da1c27ca77872ac5b3e568af30673e599a47a5e4497f85c7b5da42048807b3ed,20247,1700368036,14,1.190742214116756e-05
02de11c748f5b25cfd2ce801176d3926bfde4de23b1ff43e692a5b76cf06805e4a,4020,1922394604,16,2.0911419495432583e-06
HCN_033d8656219478701227199cbd6f670335c8d408a92ae88b962c49d4dc0e83e025,712801,38151442245,94,1.8683461438300338e-05
03d37fca0656558de4fd86bbe490a38d84a46228e7ec1361801f54f9437a18d618,0,1030386802,11,0.0
02fe6a27ddcb2dd9fa8479fe1d52549b5932079a493b51f1409fa2c5878f1bc07c,180,1083269606,2,1.6616362076718323e-07
03c2abfa93eacec04721c019644584424aab2ba4dff3ac9bdab4e9c97007491dda,1610,659021571,10,2.4430156323365627e-06
037f990e61acee8a7697966afd29dd88f3b1f8a7b14d625c4f8742bd952003a590,13190,2288176990,21,5.764414229163278e-06
035b710d2c8d25993ddcbe031c0fee5434d5e6fb7a6ed5d438404daa99199537b8,0,391565772,3,0.0
0296b2db342fcf87ea94d981757fdf4d3e545bd5cef4919f58b5d38dfdd73bf5c9,5019,869851661,7,5.769949320128964e-06
03aab7e9327716ee946b8fbfae039b0db85356549e72c5cca113ea67893d0821e5,1010,12431162695,51,8.124742832030001e-08
THIEF,75650,242132680,67,0.0003124320104167682
0326e692c455dd554c709bbb470b0ca7e0bb04152f777d1445fd0bf3709a2833a3,1030,2840684264,3,3.625886949328347e-07
02f460ae6d3d3e104f8afe520ae0cff3d94c35c2ba8df66da89f3c8006a265b90a,90,1166540951,2,7.715117066644667e-08
03d607f3e69fd032524a867b288216bfab263b6eaee4e07783799a6fe69bb84fac,14984,8999663011,33,1.664951230027784e-06
031ce29116eab7edd66148f5169f1fb658fad62bdc5091221ab895fe5d36db00b2,1010,1236717733,6,8.166778667836891e-07
03a121848cf24eec9ff5bf0fc0b2212965ec1be10a0520b59db9e23b76bd1f8067,500,98825000,1,5.059448520111308e-06
02aace31b8120e29cfc29d991b63fe8614cddd3fbf6148431cc3a68932c363ed29,8080,268973266,8,3.0040160199415508e-05
035542f0f213a5b6e985dff0e0fd973da01bd77325d44242fc325d0ea8eea3d312,800,458472547,9,1.7449245439771118e-06
0311cad0edf4ac67298805cf4407d94358ca60cd44f2e360856f3b1c088bcd4782,2020,1166215542,17,1.7320983362439188e-06
03263f34611bc9455452cf32ef31ced3a55b9184e65dee52287cdfdc1493d7dc11,1820,1216589732,15,1.4959850080339162e-06
0298f6074a454a1f5345cb2a7c6f9fce206cd0bf675d177cdbf0ca7508dd28852f,9471,2451397607,14,3.863510339145077e-06
03a09f56bba3d2c200cc55eda2f1f069564a97c1fb74345e1560e2868a8ab3d7d0,610,293856998,2,2.0758396231897802e-06
0242a4ae0c5bef18048fbecf995094b74bfb0f7391418d71ed394784373f41e4f3,7582,1720036785,9,4.408045261659913e-06
02bb5e47ee26aca1654ce092d9d06eac15d953210c737f2220e2d7e54c4f108677,2020,178717524,2,1.130275282909582e-05
02150e753d33ecf6d2de4173cc1ce941d9bf8900de7f4407ac3df5e078df91dcce,9470,393959885,15,2.4037980415188718e-05
02ddb472c8edf0624dec5544507b705aae67d42a6cc2db133ba7e843fd5ce90135,490,411000122,2,1.1922137580290061e-06
02ec10d238c608af4691a0e817bcfbb4f889f90c95d93ba3150a1ac04cdcde402b,1010,69729744,1,1.448449315976264e-05
035360b3bf6a997ed1bb943ccca2b7ef969b1e25a1ee1322d3c8acca7e34468edd,500,495025437,1,1.0100491058199904e-06
0260fab633066ed7b1d9b9b8a0fac87e1579d1709e874d28a0d171a1f5c43bb877,12190,3144750984,5,3.876300559891963e-06
0299797daa21faa6e4151517b286c41d4c7a8cb21fbfba59ca3bcd21a9f8392bd4,5100,1424592628,4,3.5799707928855013e-06
02ceb27f3d4e32b83f37dff8bad8cc802dc0f380ca0193e90514ae25bc32c7542e,5060,203162418,6,2.490618122097759e-05
03abf6f44c355dec0d5aa155bdbdd6e0c8fefe318eff402de65c6eb2e1be55dc3e,0,3130132817,4,0.0
025e9497188d33af48bb15cfc3cd6d7c549eed05b5f54d45615d3cb7ec3b562588,0,339602525,1,0.0
0305f5f4013f6c6eeb097bd8607204ec1f31577a05fae35f0d857c54d3b52e4e45,2220,306505171,4,7.2429446875465604e-06
03bc9337c7a28bb784d67742ebedd30a93bacdf7e4ca16436ef3798000242b2251,59900,1671693362,27,3.583193028196041e-05
035f5236d7e6c6d16107c1f86e4514e6ccdd6b2c13c2abc1d7a83cd26ecb4c1d0e,12430,4238087553,20,2.9329266666992806e-06
02b7291fcf57fd64cb9610beedf37eac46212762608813ccf8090520701b94ae62,0,1321049493,2,0.0
02b515c74f334dee09821bee299fcbd9668182730c5719b25a8f262b28893198b0,5270,1916765563,4,2.7494233524060865e-06
0288be11d147e1525f7f234f304b094d6627d2c70f3313d7ba3696887b261c4447,1000,2484239331,1,4.0253770541401995e-07
03434a39cd9a537c852fc8fb72454086d726f9111e9f730cef4985c39c11fae944,26000,53084791,1,0.0004897824689561272
02315fe3619ffdea2561bcacecada87b226723f471a59fdbfec18c4e84bcf785b2,3900,217623065,2,1.7920894552238753e-05
0303a518845db99994783f606e6629e705cfaf072e5ce9a4d8bf9e249de4fbd019,22310,2210386920,13,1.0093255528312663e-05
031c7ecff228dfe6054307ee49c8616998af5f8d4436f13c07d211aeb6c0ec87f7,2430,806591847,4,3.012676124905091e-06
022c260f9ad58196af280c80a96ec9eabf6404df59ff1a7553b0f381c875a29ba0,11000,1418823257,23,7.752903644431873e-06
035e4ff418fc8b5554c5d9eea66396c227bd429a3251c8cbc711002ba215bfc226,34454,8828416516,12,3.902625112618781e-06
03ef1f35c48695828f614ac685fd5eead1005641cac453ed31052b0ef6cb959a60,1190,467142317,3,2.547403557104847e-06
02a4002deca0ad6781b1c55ea5c692faae768fef44e1997c5723cb5393a98709ae,0,340428939,2,0.0
028a8e53d70bc0eb7b5660943582f10b7fd6c727a78ad819ba8d45d6a638432c49,10,1094931466,3,9.13299170817692e-09
032679fec1213e5b0a23e066c019d7b991b95c6e4d28806b9ebd1362f9e32775cf,11000,1270352785,7,8.659011992483647e-06
03fce165537aea120bffe8505876b44d5119354f825b3eac329b761fc5636bf334,1010,1204964469,8,8.381989892516906e-07
03501a74753e0f6ae270a1e4e2ffbbc37f7a796360e650c1121c18e116b22ac106,0,835013186,2,0.0
03d2e20bc19d995098ba357157a9cfbfbfdff4b78fce5ec713128e988e0115d776,1500,233590828,1,6.421485007964439e-06
02826f50035eca93c7ebfbad4f9621a8eb201f4e28f994db5b6b5af32a65efb6b9,10,171098045,1,5.8446021402523916e-08
0203e5b16ebe87b089f22e18752f1f7a66a1bdf77879df8d1c9e8d912dbfb9beb4,1600,923381139,10,1.7327622716365662e-06
0289b70b52a04e951446674bedb571336295a2890ca0079639ebc067076277d571,1510,375080058,3,4.0258072051380565e-06
020e6dd9f90cc37f2a7b5e881b6ecb6fe07f60d86416f34c63d8264356649fd8cb,90,81566620,1,1.1033925397423602e-06
02e2d1b40f08d2ca704c7f62397eec42245cb394d4a07db695ac5348dd24a527bd,2010,218158606,2,9.213480214482118e-06
035b1ff29e8db1ba8f2a4f4f95db239b54069cb949b8cde329418e2a83da4f1b30,4110,1316354154,3,3.122260060114491e-06
02cdf1eca1228e2e7295c3f44f4ffcc73e3364b2adea5ad024a25ac9f170ed473f,4400,46000000,4,9.565217391304348e-05
03b006c37dfb8681e5db9f513386d06c9d18bd514fae5d79a7ed2d5991c7d57330,1010,1622597675,1,6.224586757157778e-07
020d1617e27ac022395352f2b3774969593d3d6ddff6fb117d820a9dda8da45217,1860,1211741039,6,1.5349814359138825e-06
03dc63047373c13d6512bd2e8d893cb445ea833ea4b6d496249290413d02674851,3000,158000000,5,1.89873417721519e-05
0349cb2f33d5542432b016405a22dfda18617d87abe4718e61c45909b8a5449329,3000,163665391,3,1.8330081770311475e-05
0231d05027b5df80ebde034b45df8a893ccfd12848fc8bc4f6f2f944ac7de95b70,1010,674645983,1,1.4970814700604243e-06
030995c0c0217d763c2274aa6ed69a0bb85fa2f7d118f93631550f3b6219a577f5,2020,1868655818,8,1.0809909350572551e-06
0293e0945e225ebb21daaa846ccfc8f3f2c5e97421bed2b7f9d1fb11d96b8a3bf3,520,128129712,1,4.0583873317377e-06
0377f626255c4b6938becd925bcc422cf2662bfa03df7008b5dfd7356db50d2bef,150,856307622,3,1.7517069350575043e-07
02bce4f7ae5b2d51c18575b3f277e296d9df800a54d749d7a3145c9e40237e4011,90,1015099162,1,8.866128883672548e-08
02bb10aaa77a95a358cebb2d112c4de00e47c08f56e89b1acb4487ddd44cc98d6d,1700,276170512,1,6.155617367287931e-06
02c197ffa4c2aa4105dd4c4b7279ba1b9061b22910ebbfa759b0001bed9ee48a16,90,1409879803,1,6.383522893830688e-08
0246ee8e4c965296799eebd29a0948b9a4641843298b0f2a8e42256c4b594e4b8f,1010,171388607,1,5.893040486640982e-06
031f2669adab71548fad4432277a0d90233e3bc07ac29cfb0b3e01bd3fb26cb9fa,2000,452807892,2,4.416884147416759e-06
02cc79b8d771cc79d323bd71e54ef1780cab50e7c0ef2a4beb625fc9dcbbcc6d24,2000,67765721,1,2.9513446776431406e-05
0294fd62bc6f4ad2804dfb01237baaf8b8dd5646cf60639e6586c5a1d9d4ed01f4,1500,623229287,2,2.406818856701129e-06
031015a7839468a3c266d662d5bb21ea4cea24226936e2864a7ca4f2c3939836e0,4910,1346729950,5,3.6458682752247398e-06
02c1c410e5748cad48c58dc810cb88f593c34d8d4a0f67625e4d85d4c247c6f2a6,0,82540943,2,0.0
02e1f391c9f3420fcaf65d45b615ab53034bd4a090036ddfb5703f6825b3b2bb4c,490,83145006,1,5.893318475435554e-06
03c9b47af55d8c13dc4c764e5d0e6a02b7498160f7533f015bf0c107dec00c008b,3210,380365032,5,8.439261577546907e-06
0317983322379d859c0d43a90c8dcd3e7239b8e0671b00a657ce3924d4498f3754,0,674537877,2,0.0
03c91650dafc58f35cb862c3e5b67d281b42b2b0f2c36251c017c9aae0821c841b,1090,124411500,2,8.761247955373901e-06
0204a91bb5802ad0a799acfd86ef566da03d80cc9e13acb01e680634bf64188a0d,1530,991441135,4,1.5432081098793627e-06
021f98b9898720f8633c93faf0aa54ab399d277464e502d1111b233c2cf4064828,800,772982066,4,1.0349528600835612e-06
027cd974e47086291bb8a5b0160a889c738f2712a703b8ea939985fd16f3aae67e,0,485000754,2,0.0
037e27d212432eaf499e4fb648d996944f3454c094dab36336bac573f82211a335,0,1794578134,1,0.0
038f17fe425f76ef337429af4a0ba8895f7b278cfa89cd30e60a8be4f6e82da4e7,100,90174974,1,1.1089551298345814e-06
0205d9b3537e4c212c59a52e1a7fe7080b521f6f88b3fb34dd57e5a54a80a8dcdb,200,300826963,1,6.648340228731426e-07
03d1e805c38257b713340049745ff5a15d9ee5d733517a1d48a956815c9482055c,1751,1270074976,1,1.378658766677409e-06
021294fff596e497ad2902cd5f19673e9020953d90625d68c22e91b51a45c032d3,1000,405165088,1,2.468129731848959e-06
0387dd01fe2b154c7e9002d9e66be0c4e47d90433bb184b6e609be24d73c6be698,1000,52856668,1,1.891908888392284e-05
028d98b9969fbed53784a36617eb489a59ab6dc9b9d77fcdca9ff55307cd98e3c4,270,2127090928,3,1.2693392484818119e-07
03224c97588dda56a63e881c4f522ffd746a2f3b3cbfe4790e38c64ce263d6f6f9,1010,857397281,2,1.1779836749913835e-06
02b2a127c7d5ae7634f11bc81ecbc3da91d730665ecdf740925b2bc19d49f10b2c,190,29994500,1,6.3344946573538485e-06
021f1beed0a32fb740e9c8ea12702dd4371b444a6464368d93a2957b95f8cd2db1,10,164333259,1,6.08519545030139e-08
038398286d47300a40381620e2f738c43a572fb770f42fba34e42f8fa9712e61ca,1010,125687497,1,8.035803274847617e-06
0340f8fa6bc058df204691bc1c965de041e550d8ef0512d22007d4cab7ebd7a536,1000,211286133,1,4.732918274385759e-06
033f2d44c4dcd5c14297f2cc52aac2831bf4beb7896d67fbae8da29e1b939de369,1010,46025000,1,2.1944595328625747e-05
033d9e73a183c9714545f292875fb90c4372bddc9c2cc302b265d15e7969a5ed60,530,1317768589,3,4.0219504731266593e-07
03676f530adb4df9f7f4981a8fb216571f2ce36c34cbefe77815c33d5aec4f2638,0,159990574,1,0.0
029efe15ef5f0fcc2fdd6b910405e78056b28c9b64e1feff5f13b8dce307e67cad,1010,1020286415,1,9.899181103964812e-07
0202e7727ee46d943a44c7bf0dce14220a839630dee67d03446bf935178b55a0df,3079,1029442878,4,2.9909381722877875e-06
03fee917a3c0636f95d2529985a57ed185da42f35413f86a9e5d2d109100f15bd1,10,7499500,1,1.3334222281485433e-06
03bb88ccc444534da7b5b64b4f7b15e1eccb18e102db0e400d4b9cfe93763aa26d,90,1132919424,1,7.94407775993785e-08
022f2f7a120d04c28b7ec1ba7e100eac3e6b8388b0f184ac8ca5c32a737a3a4165,1400,43097556,2,3.248444064902428e-05
03f5dcf253ca5ab4a8a0ad27bc5d8787ca920610902425b060311530cb511e9545,4040,540034710,4,7.481000619386113e-06
03a93b87bf9f052b8e862d51ebbac4ce5e97b5f4137563cd5128548d7f5978dda9,0,1429189924,1,0.0
0231eccc6510eb2e1c97c8a190d6ea096784aa7c358355442055aac8b20654f932,0,411139196,1,0.0
022297edebc55af78f4f472323fa8b827dacddc74bdd786cd90f77a8c845afaa68,181,24078736,1,7.517005876055952e-06
02314f8e0bc58d3cbe16af3d3d17a130fe8ebd7aa49b32855a26eab81166d3c347,0,23500000,1,0.0
020c92d71dfe47d49d322eed910064787973dff96c05a39d75a75d7e8f33aead4c,370,868166551,1,4.261855050437206e-07
026db2cbf3d8ab4a4c01eed2df432d20cf0a13136402097574209d2595cb9e9d93,90,322981233,1,2.786539612968782e-07
02a5e151038284a632aa944df938bf13be3936a969d7da15bb3acb86efd6f8f4da,2000,154796310,1,1.2920204622448688e-05
0200cf174ef5c6abbdd2f8ab87d1628c83a99a309266465e9c7cde14fb6d5882a9,590,61403623,2,9.608553553916518e-06
0391e2edea5191627a25ecbd327c0dc2a95c880a5b0e73af38dc4a5a8964263b3f,150,363242937,1,4.1294677671874457e-07
03eced7eb38bb00b9b6dc82098e0c2dd52829da892014a7eb08e0a58635c5821be,100,588495152,1,1.6992493423293317e-07
034a879c36f418cb5b44b6903b3c6c1cfb5f4beb1e79b9b479c040b7df9cbc56be,1020,776182998,2,1.3141230903385493e-06
02b2ae15001601b74eee8ddbd036315c5fbd415b24f88f24d5266820169dfd13de,0,306780521,1,0.0
