node,total_fee,capacity,routed_payments,ratio
034ea80f8b148c750463546bd999bf7321a0e6dfc60aaf84bd0400a2e8d376c0d5,122340,6941857656,246,1.7623524719533662e-05
03fb822818be083e0a954db85257a2911a3d55458b8c1ea4124b157e865a836d12,11540,2128794769,107,5.420907721142564e-06
039d38adaa66554f2079cea57149b85b55df35feb6a54a8bace32898558fea8a4e,36206,4303395876,75,8.413355648249917e-06
026165850492521f4ac8abd9bd8088123446d126f648ca35e60f88177dc149ceb2,29830,2528373390,141,1.1798099172369474e-05
0311cad0edf4ac67298805cf4407d94358ca60cd44f2e360856f3b1c088bcd4782,7030,1166215542,14,6.028045199898391e-06
03dc686001f9b1ff700dfb8917df70268e1919433a535e1fb0767c19223509ab57,42220,2798793017,41,1.5085074081417862e-05
035d6f5b496f0a8bd3a05fb40b8bf7423afed11a8f2671a1980f6911b1be1685eb,90000,360632680,60,0.00024956140968699785
031015a7839468a3c266d662d5bb21ea4cea24226936e2864a7ca4f2c3939836e0,25252,1346729950,15,1.875060400936357e-05
03abf6f44c355dec0d5aa155bdbdd6e0c8fefe318eff402de65c6eb2e1be55dc3e,0,3130132817,5,0.0
02aace31b8120e29cfc29d991b63fe8614cddd3fbf6148431cc3a68932c363ed29,10100,268973266,10,3.755020024926938e-05
035542f0f213a5b6e985dff0e0fd973da01bd77325d44242fc325d0ea8eea3d312,900,458472547,9,1.963040111974251e-06
024bfaf0cabe7f874fd33ebf7c6f4e5385971fc504ef3f492432e9e3ec77e1b5cf,106060,5931179407,213,1.7881772362985275e-05
03a7510e93c0c817fb4521d2c884e1a75cd3adc831e72a3609515325c51d705029,670,76432550,1,8.765898821902448e-06
03d607f3e69fd032524a867b288216bfab263b6eaee4e07783799a6fe69bb84fac,26493,8999663011,37,2.943776891158975e-06
HCN_033d8656219478701227199cbd6f670335c8d408a92ae88b962c49d4dc0e83e025,768751,39040413963,84,1.9691159031473715e-05
03fce165537aea120bffe8505876b44d5119354f825b3eac329b761fc5636bf334,3000,1198646721,14,2.502822514291098e-06
