node,total_fee,capacity,routed_payments,ratio
024bfaf0cabe7f874fd33ebf7c6f4e5385971fc504ef3f492432e9e3ec77e1b5cf,146608,5931179407,194,2.4718186711225205e-05
03fb822818be083e0a954db85257a2911a3d55458b8c1ea4124b157e865a836d12,16610,2128794769,105,7.802537023238992e-06
034ea80f8b148c750463546bd999bf7321a0e6dfc60aaf84bd0400a2e8d376c0d5,114741,6941857656,264,1.652886095998048e-05
03cde60a6323f7122d5178255766e38114b4722ede08f7c9e0c5df9b912cc201d6,557492,21450671256,125,2.598948971557536e-05
02ddb472c8edf0624dec5544507b705aae67d42a6cc2db133ba7e843fd5ce90135,2590,411000122,2,6.301701292439033e-06
02c91d6aa51aa940608b497b6beebcb1aec05be3c47704b682b3889424679ca490,6560,2584371929,40,2.538334334307034e-06
033e9ce4e8f0e68f7db49ffb6b9eecc10605f3f3fcb3c630545887749ab515b9c7,92360,5583673704,111,1.6541081176329425e-05
03dab87ff8635982815c4567eb58af48f9944d11c56beb12b91e1049aaea06e187,5000,1351549690,10,3.6994570284722567e-06
02aace31b8120e29cfc29d991b63fe8614cddd3fbf6148431cc3a68932c363ed29,9090,268973266,9,3.3795180224342446e-05
03dc686001f9b1ff700dfb8917df70268e1919433a535e1fb0767c19223509ab57,54870,2798793017,47,1.960487955583605e-05
030995c0c0217d763c2274aa6ed69a0bb85fa2f7d118f93631550f3b6219a577f5,6060,1868655818,12,3.2429728051717656e-06
02f1a8c87607f415c8f22c00593002775941dea48869ce23096af27b0cfdcc0b69,22900,15042323281,13,1.5223712170130696e-06
03271338633d2d37b285dae4df40b413d8c6c791fbee7797bc5dc70812196d7d5c,17011,1328178999,16,1.2807761614065395e-05
03d537795588c8b855844dc482ce4eb1eba1011729c2501223afc709a6bba66f17,500,32412371,1,1.5426208715184707e-05
02d875382a2f30533a1eba1bde7e71b414f942da8be37ef7f47dfde119ac1f405c,1050,113788085,1,9.227679681928034e-06
0242a4ae0c5bef18048fbecf995094b74bfb0f7391418d71ed394784373f41e4f3,1260,1720036785,5,7.325424729215893e-07
02e4971e61a3f55718ae31e2eed19aaf2e32caf3eb5ef5ff03e01aa3ada8907e78,74280,4274263109,47,1.7378434154788948e-05
HCN_033d8656219478701227199cbd6f670335c8d408a92ae88b962c49d4dc0e83e025,475296,39040413963,80,1.2174461071300501e-05
039d38adaa66554f2079cea57149b85b55df35feb6a54a8bace32898558fea8a4e,41365,4303395876,78,9.612176335133895e-06
035d6f5b496f0a8bd3a05fb40b8bf7423afed11a8f2671a1980f6911b1be1685eb,96000,360632680,64,0.0002661988369994644
0317983322379d859c0d43a90c8dcd3e7239b8e0671b00a657ce3924d4498f3754,1010,674537877,3,1.497321402456989e-06
02150e753d33ecf6d2de4173cc1ce941d9bf8900de7f4407ac3df5e078df91dcce,4670,393959885,10,1.1853998789749876e-05
026165850492521f4ac8abd9bd8088123446d126f648ca35e60f88177dc149ceb2,53670,2528373390,132,2.1227086241403608e-05
022c260f9ad58196af280c80a96ec9eabf6404df59ff1a7553b0f381c875a29ba0,10,1418823257,23,7.048094222210794e-09
020c92d71dfe47d49d322eed910064787973dff96c05a39d75a75d7e8f33aead4c,1420,868166551,3,1.6356308571948196e-06
033c3c634183087678b728f061c389d8e7d6a13d3d0f7aae938c2db562c61d696b,0,84575000,1,0.0
03f5dcf253ca5ab4a8a0ad27bc5d8787ca920610902425b060311530cb511e9545,2020,540034710,2,3.7405003096930565e-06
037f990e61acee8a7697966afd29dd88f3b1f8a7b14d625c4f8742bd952003a590,13110,2288176990,18,5.729451898736208e-06
0311cad0edf4ac67298805cf4407d94358ca60cd44f2e360856f3b1c088bcd4782,5050,1166215542,17,4.330245840609797e-06
035e4ff418fc8b5554c5d9eea66396c227bd429a3251c8cbc711002ba215bfc226,4552,8828416516,5,5.156077527323587e-07
033d9e73a183c9714545f292875fb90c4372bddc9c2cc302b265d15e7969a5ed60,2230,1317768589,6,1.6922546330325377e-06
025f1456582e70c4c06b61d5c8ed3ce229e6d0db538be337a2dc6d163b0ebc05a5,27270,1973441165,44,1.3818501652670247e-05
