node,total_fee,capacity,routed_payments,ratio
025f1456582e70c4c06b61d5c8ed3ce229e6d0db538be337a2dc6d163b0ebc05a5,28520,1973441165,42,1.4451912986217656e-05
033e9ce4e8f0e68f7db49ffb6b9eecc10605f3f3fcb3c630545887749ab515b9c7,65660,5583673704,108,1.17592831316348e-05
03aab7e9327716ee946b8fbfae039b0db85356549e72c5cca113ea67893d0821e5,1240,12431162695,34,9.974931793779408e-08
THIEF,90650,242132680,70,0.0003743815167783217
024bfaf0cabe7f874fd33ebf7c6f4e5385971fc504ef3f492432e9e3ec77e1b5cf,133241,5981179407,191,2.227671014918279e-05
026165850492521f4ac8abd9bd8088123446d126f648ca35e60f88177dc149ceb2,33430,2528373390,136,1.3221939501586038e-05
03fb822818be083e0a954db85257a2911a3d55458b8c1ea4124b157e865a836d12,11760,2128794769,99,5.5242525823775174e-06
034ea80f8b148c750463546bd999bf7321a0e6dfc60aaf84bd0400a2e8d376c0d5,137740,6991857656,275,1.9700057806783246e-05
0390b5d4492dc2f5318e5233ab2cebf6d48914881a33ef6a9c6bcdbb433ad986d0,5550,1896215495,11,2.926882527135978e-06
02c91d6aa51aa940608b497b6beebcb1aec05be3c47704b682b3889424679ca490,32980,2620152586,42,1.2587053203015254e-05
0298f6074a454a1f5345cb2a7c6f9fce206cd0bf675d177cdbf0ca7508dd28852f,12021,2451397607,14,4.903733268594971e-06
0250baf7a558091eb9c93f43d595b795db61bd2b55ca016d8682fd310cb1b81e6c,41900,1424400597,39,2.9415882082784607e-05
022c260f9ad58196af280c80a96ec9eabf6404df59ff1a7553b0f381c875a29ba0,3010,1418823257,30,2.121476360885449e-06
03cde60a6323f7122d5178255766e38114b4722ede08f7c9e0c5df9b912cc201d6,325027,21450671256,113,1.5152299716918473e-05
037f990e61acee8a7697966afd29dd88f3b1f8a7b14d625c4f8742bd952003a590,40570,2288176990,28,1.773027181782822e-05
0311cad0edf4ac67298805cf4407d94358ca60cd44f2e360856f3b1c088bcd4782,7070,1166215542,16,6.062344176853716e-06
039edc94987c8f3adc28dab455efc00dea876089a120f573bd0b03c40d9d3fb1e1,16960,1657559575,24,1.0231909764087967e-05
026af41af0e3861ba170cc0eef8f45a1015125dac57c28df53752dcaeea793b28f,6890,1397206548,10,4.931268043270006e-06
028a8e53d70bc0eb7b5660943582f10b7fd6c727a78ad819ba8d45d6a638432c49,7500,1094931466,7,6.84974378113269e-06
