node,total_fee,capacity,routed_payments,ratio
022755c3ff4e5a1d71f573cda4b315887fc00a9e5c9ea9a847d939f3e517e69a70,71081,1742538584,72,4.079163620976096e-05
HCN_033d8656219478701227199cbd6f670335c8d408a92ae88b962c49d4dc0e83e025,664731,39040413963,411,1.702674056248454e-05
02c91d6aa51aa940608b497b6beebcb1aec05be3c47704b682b3889424679ca490,25459,2584371929,18,9.85113625261018e-06
03df3f0a2fd6bea5429a596461ce784c922b2981ada1af89cfefcd9ccfb16c16a7,9284,1221053033,10,7.603273362492847e-06
03864ef025fde8fb587d989186ce6a4a186895ee44a926bfc370e2c366597a3f8f,210697,20484370825,137,1.0285744277918285e-05
03fb822818be083e0a954db85257a2911a3d55458b8c1ea4124b157e865a836d12,29529,2128794769,52,1.3871229124577016e-05
032d4baebebfdeab7a2ecef2fbe109cbef10de95f05aa54090fdb687789547dbf5,9,128980653,1,6.977790692376166e-08
03d607f3e69fd032524a867b288216bfab263b6eaee4e07783799a6fe69bb84fac,109315,8999663011,31,1.2146565917678003e-05
02c3be1b43f90f089fddeff84014dca38fd0f6ab4224dbf6c18a5e36d55d7917cc,11020,2417150000,6,4.559088182363528e-06
03abf6f44c355dec0d5aa155bdbdd6e0c8fefe318eff402de65c6eb2e1be55dc3e,39307,3130132817,19,1.2557614100756542e-05
0390b5d4492dc2f5318e5233ab2cebf6d48914881a33ef6a9c6bcdbb433ad986d0,59299,1896215495,45,3.127228954533989e-05
029efe15ef5f0fcc2fdd6b910405e78056b28c9b64e1feff5f13b8dce307e67cad,4032,1020286415,6,3.951831506058032e-06
0303a518845db99994783f606e6629e705cfaf072e5ce9a4d8bf9e249de4fbd019,52764,2190739749,54,2.4085015129745564e-05
02315fe3619ffdea2561bcacecada87b226723f471a59fdbfec18c4e84bcf785b2,7174,217623065,38,3.296525577378482e-05
03afa7a8196dbca763ee6f9a34b634a7adc03f154e5d6979fe654db5606b5fb2b1,1001,472684582,1,2.1176912429946783e-06
02f1a8c87607f415c8f22c00593002775941dea48869ce23096af27b0cfdcc0b69,276680,15042323281,184,1.839343529795529e-05
023d70f2f76d283c6c4e58109ee3a2816eb9d8feb40b23d62469060a2b2867b77f,31820,488380708,68,6.515408876470199e-05
022c260f9ad58196af280c80a96ec9eabf6404df59ff1a7553b0f381c875a29ba0,186472,1418823257,78,0.00013142722258040911
033e9ce4e8f0e68f7db49ffb6b9eecc10605f3f3fcb3c630545887749ab515b9c7,33985,5583673704,76,6.0864946273013804e-06
03d506016e3e0e540ac26d557a412520ea24990ca9405d410c24122f648752b830,500,110795386,1,4.512823304753864e-06
0381cb801ca3ed432b067b2f4db840ba6c1462782f043b86ecf60a3b1666ad13c5,2000,5958254,1,0.00033566880498884404
02ed6d58db3369dc2f274aa7c8f71c647e9f52b01b404b55bc019ac4f0bab5f0ed,1010,19761040,2,5.111067028860829e-05
02e4971e61a3f55718ae31e2eed19aaf2e32caf3eb5ef5ff03e01aa3ada8907e78,22398,4274263109,42,5.240201510486846e-06
0328e8213309cef36486fb9a0eda6a16f349562333bee1a7d2ed84dd10048d682c,9,45419857,1,1.9815121830964812e-07
033d631908f96640e8a8d376e62a4cfdc736172249b57a3f92f67f62250c9691dd,15527,55150587,14,0.000281538254524834
