node,total_fee,capacity,routed_payments
028edb80cb2a4cfa10dc72fc0942ae42575e484480bf53c6373fc4d46240bfec62,9045,25587796,13
03b006c37dfb8681e5db9f513386d06c9d18bd514fae5d79a7ed2d5991c7d57330,54017,1645277952,30
HCN,2875449,15406917181,627
0303a518845db99994783f606e6629e705cfaf072e5ce9a4d8bf9e249de4fbd019,312367,1744977817,234
031c7ecff228dfe6054307ee49c8616998af5f8d4436f13c07d211aeb6c0ec87f7,358402,602866259,138
029f96fe33e4c3db0a7dc4039fb9e2a792bb99ef62589c9932bce2a59a06b650d7,23685,38689557,74
03cde60a6323f7122d5178255766e38114b4722ede08f7c9e0c5df9b912cc201d6,251132,11931871647,134
03864ef025fde8fb587d989186ce6a4a186895ee44a926bfc370e2c366597a3f8f,311304,10954576436,195
03271338633d2d37b285dae4df40b413d8c6c791fbee7797bc5dc70812196d7d5c,37259,1279098221,16
039edc94987c8f3adc28dab455efc00dea876089a120f573bd0b03c40d9d3fb1e1,39427,1324158198,21
0294ac3e099def03c12a37e30fe5364b1223fd60069869142ef96580c8439c2e0a,52095,2444643820,49
03886b18969fd197358b66b6ab9bac2d5e32bb4e5157925bc0292acb3893a47237,18180,76351338,62
02bc1505345decad9bcbb6aa89c6a93cabf1f8cfd91b414b70428ef5d59f9c1e46,1006,5550000,2
02b8c064254122387ebebaf755823a4dcccb9c0863e276147181f3e897b7557387,1400,48694310,3
035e4ff418fc8b5554c5d9eea66396c227bd429a3251c8cbc711002ba215bfc226,157902,5930999121,117
030995c0c0217d763c2274aa6ed69a0bb85fa2f7d118f93631550f3b6219a577f5,163108,1631883317,79
02c43a8c5dd024c4d3c5be5612347f87cf90d79e5c2417861908d25f72046354c3,92265,147477927,60
03c3c04afee5979a3cc3255aca107547cf6cc301c846f7f2ded095cdba6b8c8885,2002,59555000,2
0325bb9bda523a85dc834b190289b7e25e8d92615ab2f2abffbe97983f0bb12ffb,37586,925826717,21
034ea80f8b148c750463546bd999bf7321a0e6dfc60aaf84bd0400a2e8d376c0d5,88868,5476353953,95
033e9ce4e8f0e68f7db49ffb6b9eecc10605f3f3fcb3c630545887749ab515b9c7,72377,4604194708,64
030c3f19d742ca294a55c00376b3b355c3c90d61c6b6b39554dbc7ac19b141c14f,62073,3863321645,50
03d58a9b39eaa2edc19ed2a98e74887e538e5dd3694d9580419bfac839d993f358,3199,10100000,3
03ea08d787c0153d42f0aa286a1b7000de17d959771e059aadc1cf85d5f2a67e35,120926,172822356,78
035f5236d7e6c6d16107c1f86e4514e6ccdd6b2c13c2abc1d7a83cd26ecb4c1d0e,131658,5040810799,193
03a6daac0ca23f681f86f7a3dba5674ae5eaa5c171571ab1ece5bf10c0ad7b4c4e,29676,568716259,18
03c1a8ccc5c83b37059a3efbb72e633c0897172f2550475b93bdc14b5ca243a0d1,11792,584075573,8
03c8dfbf829eaeb0b6dab099d87fdf7f8faceb0c1b935cd243e8c1fb5af71361cf,72816,192310655,42
022755c3ff4e5a1d71f573cda4b315887fc00a9e5c9ea9a847d939f3e517e69a70,2082,1184790958,47
03fb822818be083e0a954db85257a2911a3d55458b8c1ea4124b157e865a836d12,24096,1685281205,29
026165850492521f4ac8abd9bd8088123446d126f648ca35e60f88177dc149ceb2,28943,1918385653,15
02b103f2cfb227cca4a0ba76d0ba102e31b85df92976a3d6541f47f5abf84b5944,2002,103756436,2
0288be11d147e1525f7f234f304b094d6627d2c70f3313d7ba3696887b261c4447,23491,1587407334,20
03fce165537aea120bffe8505876b44d5119354f825b3eac329b761fc5636bf334,41738,913097630,67
026db2cbf3d8ab4a4c01eed2df432d20cf0a13136402097574209d2595cb9e9d93,205722,336744563,63
0337694505123a12a8fadd95523dcc235898ad3b80a06e4a63ca26fed68dd0d17c,2126,705813351,2
02f1a8c87607f415c8f22c00593002775941dea48869ce23096af27b0cfdcc0b69,288429,4575106988,132
025f1456582e70c4c06b61d5c8ed3ce229e6d0db538be337a2dc6d163b0ebc05a5,7251,1106003062,7
02ee2ca040e441e56700cc293c68a06b5afe4d069ae9dc8bbc5be0d6a607e0f71c,1001,8185000,1
039f0ad37eef3e1813ebe825d2d91908914a2c3ec1b2047fda6a9fedce3a6f63dc,23114,1588476339,10
02fb949a6965c62a40b5e7f3bb01cddce4c35abf67b469e90155f68637fbc61118,1161,281779392,1
035a58aa55a17045c8eb0bc0b0bc9325deabf460e6c0ac42c63b36cc038d7b6c13,2344,37826230,4
03ac61c971d146787a036f75e80a9fbede238a75d0c396f1fe996def00f0ac5dbe,12307,455858133,7
0298f6074a454a1f5345cb2a7c6f9fce206cd0bf675d177cdbf0ca7508dd28852f,33431,2584802003,33
03a09f56bba3d2c200cc55eda2f1f069564a97c1fb74345e1560e2868a8ab3d7d0,30177,137456012,5
02e9046555a9665145b0dbd7f135744598418df7d61d3660659641886ef1274844,133644,1943405999,50
02bb24da3d0fb0793f4918c7599f973cc402f0912ec3fb530470f1fc08bdd6ecb5,8223,1476448363,20
03c9b47af55d8c13dc4c764e5d0e6a02b7498160f7533f015bf0c107dec00c008b,13830,422341466,6
02a1d2856be336a58af08989aea0d8c41e072ccc392c46f8ce0e6e069f002035f3,2398,86348205,2
02258a9aa9463749bf729511af78b1ea339ecdb36b37a6e18a8c8caa895228bfcb,50,17073978,1
0283c8e76952e4391a298ef991250406906b8877088b285f032b60867ebe27dad9,1589,105937250,3
02ff30e83896d453cfc89ff4dd06d23d793b7246f154c210324adc1d42c849ce74,7916,542804420,4
020b453c73be888454d1e8065382ba9fc4e114a9e36146e2630ccc617fbffb22cb,1100,209198427,1
029f20f3d222e22706d7e1f624c79cd87f9868317cd5601684ad1f924ffc1a621b,1001,9883887,2
032a7a0a92c3038901d8f3177ca2d352ca57738a21b1a46f524d1fd23a1b5740b4,250,24075000,3
027ce055380348d7812d2ae7745701c9f93e70c1adeb2657f053f91df4f2843c71,16067,1475500776,12
03bc9337c7a28bb784d67742ebedd30a93bacdf7e4ca16436ef3798000242b2251,38416,1461615121,27
021c97a90a411ff2b10dc2a8e32de2f29d2fa49d41bfbb52bd416e460db0747d0d,164091,1568492379,87
02478e2fc963f74d0557a4bd821a743b18d51bbb589bfa124edf39aec95a65fc35,1500,114817718,1
02004c625d622245606a1ea2c1c69cfb4516b703b47945a3647713c05fe4aaeb1c,7924,135812867,7
02de11c748f5b25cfd2ce801176d3926bfde4de23b1ff43e692a5b76cf06805e4a,8503,1498619794,12
02ae53b0661195617ba1063e053ee238a24e80b90e371ebf2038de00aeb196bfd7,7053,34909294,58
0294162456fd6b71f7f7eb8b3510d0740094556b601a2fbcb1d4c040c46c4e57a6,79900,102123340,39
