node,total_fee,capacity,routed_payments
35,23552,2000000,23
6,45056,2000000,44
HCN_2,862208,16000000,842
4,130048,3000000,127
27,82944,4000000,81
77,26624,2000000,26
41,117760,4000000,115
42,47104,3000000,46
3,382976,7000000,374
0,460800,13000000,450
46,20480,2000000,20
23,116736,6000000,114
7,227328,5000000,222
HRN_1,145408,3000000,142
5,109568,3000000,107
9,37888,3000000,37
16,64512,3000000,63
8,228352,5000000,223
17,155648,3000000,152
20,74752,5000000,73
73,25600,2000000,25
55,23552,2000000,23
21,37888,3000000,37
30,24576,2000000,24
58,22528,2000000,22
62,40960,2000000,40
19,50176,4000000,49
13,89088,3000000,87
32,40960,3000000,40
40,15360,2000000,15
11,23552,2000000,23
65,38912,3000000,38
31,59392,2000000,58
78,45056,3000000,44
25,16384,2000000,16
84,17408,2000000,17
37,21504,2000000,21
