node,total_fee,capacity,routed_payments
0260fab633066ed7b1d9b9b8a0fac87e1579d1709e874d28a0d171a1f5c43bb877,2305,5195399455.0,1
0294ac3e099def03c12a37e30fe5364b1223fd60069869142ef96580c8439c2e0a,2805,2543202657.0,4
035e4ff418fc8b5554c5d9eea66396c227bd429a3251c8cbc711002ba215bfc226,1501,7946199507.0,2
03cde60a6323f7122d5178255766e38114b4722ede08f7c9e0c5df9b912cc201d6,19610,15327843352.0,5
02f1a8c87607f415c8f22c00593002775941dea48869ce23096af27b0cfdcc0b69,2002,6025668306.0,2
HRN,100,7697235367.0,2
02c91d6aa51aa940608b497b6beebcb1aec05be3c47704b682b3889424679ca490,1001,2812107437.0,1
039edc94987c8f3adc28dab455efc00dea876089a120f573bd0b03c40d9d3fb1e1,1001,2173003685.0,1
034ea80f8b148c750463546bd999bf7321a0e6dfc60aaf84bd0400a2e8d376c0d5,6500,8776061604.0,1
03fb822818be083e0a954db85257a2911a3d55458b8c1ea4124b157e865a836d12,0,2408078815.0,1
03864ef025fde8fb587d989186ce6a4a186895ee44a926bfc370e2c366597a3f8f,1500,11593912257.0,1
HCN_COPY,2305,10382695090.0,1
