node,total_fee,capacity,routed_payments,ratio
034ea80f8b148c750463546bd999bf7321a0e6dfc60aaf84bd0400a2e8d376c0d5,502360,6941857656,1612,7.236679645336709e-05
03bc9337c7a28bb784d67742ebedd30a93bacdf7e4ca16436ef3798000242b2251,395590,1671693362,158,0.0002366402888187098
024bfaf0cabe7f874fd33ebf7c6f4e5385971fc504ef3f492432e9e3ec77e1b5cf,1718582,5931179407,2706,0.0002897538384982459
03263f34611bc9455452cf32ef31ced3a55b9184e65dee52287cdfdc1493d7dc11,49700,1216589732,231,4.085189829631079e-05
03dab87ff8635982815c4567eb58af48f9944d11c56beb12b91e1049aaea06e187,33310,1351549690,64,2.4645782723682176e-05
02a98e8c590a1b5602049d6b21d8f4c8861970aa310762f42eae1b2be88372e924,526640,298242984,196,0.0017658085126991622
025f1456582e70c4c06b61d5c8ed3ce229e6d0db538be337a2dc6d163b0ebc05a5,193612,1973441165,680,9.810882808862457e-05
HCN_033d8656219478701227199cbd6f670335c8d408a92ae88b962c49d4dc0e83e025,4355905,38894621785,905,0.00011199247608264151
035f5236d7e6c6d16107c1f86e4514e6ccdd6b2c13c2abc1d7a83cd26ecb4c1d0e,23690,4238087553,101,5.589785417064035e-06
03271338633d2d37b285dae4df40b413d8c6c791fbee7797bc5dc70812196d7d5c,81587,1328178999,335,6.142771423236454e-05
02e4971e61a3f55718ae31e2eed19aaf2e32caf3eb5ef5ff03e01aa3ada8907e78,1240790,4274263109,911,0.0002902933133403417
039174f846626c6053ba80f5443d0db33da384f1dde135bf7080ba1eec465019c3,5990,280370364,160,2.136459757922203e-05
035d6f5b496f0a8bd3a05fb40b8bf7423afed11a8f2671a1980f6911b1be1685eb,739500,360632680,493,0.002050562916261499
03423790614f023e3c0cdaa654a3578e919947e4c3a14bf5044e7c787ebd11af1a,35939,1629936416,109,2.204932637077789e-05
0250baf7a558091eb9c93f43d595b795db61bd2b55ca016d8682fd310cb1b81e6c,314170,1424400597,474,0.00022056295164554751
026165850492521f4ac8abd9bd8088123446d126f648ca35e60f88177dc149ceb2,372502,2528373390,1067,0.00014732871397606348
03fb822818be083e0a954db85257a2911a3d55458b8c1ea4124b157e865a836d12,71181,2128794769,361,3.343722985256922e-05
033e9ce4e8f0e68f7db49ffb6b9eecc10605f3f3fcb3c630545887749ab515b9c7,385151,5583673704,689,6.897806362217902e-05
035715b716b8d61b31992256194f119e1cd7f86b5a15f66ca4cc3798d341d6a99a,24780,668006677,15,3.7095437595453854e-05
0242a4ae0c5bef18048fbecf995094b74bfb0f7391418d71ed394784373f41e4f3,144182,1720036785,159,8.382495145300047e-05
02d875382a2f30533a1eba1bde7e71b414f942da8be37ef7f47dfde119ac1f405c,3070,113788085,3,2.697997773668482e-05
03da1c27ca77872ac5b3e568af30673e599a47a5e4497f85c7b5da42048807b3ed,41775,1700368036,92,2.4568210596497004e-05
03037dc08e9ac63b82581f79b662a4d0ceca8a8ca162b1af3551595b8f2d97b70a,23770,16236338532,106,1.4640000239679654e-06
026af41af0e3861ba170cc0eef8f45a1015125dac57c28df53752dcaeea793b28f,136126,1397206548,158,9.742725597361e-05
028f4a60dd133875e8776d5ac36e87097cf59e6e3a1d74fcd14c900270dda57c06,50,306528573,5,1.631169307012694e-07
039d38adaa66554f2079cea57149b85b55df35feb6a54a8bace32898558fea8a4e,336444,4303395876,307,7.818104810583315e-05
0234b21ceafe19e5ad4bf22c9291827c1cecd3516830090ca2b44c34ef5638c360,1073,168963764,4,6.3504740578577545e-06
03d1e805c38257b713340049745ff5a15d9ee5d733517a1d48a956815c9482055c,39603,1270074976,58,3.118162372171641e-05
02150e753d33ecf6d2de4173cc1ce941d9bf8900de7f4407ac3df5e078df91dcce,54810,393959885,99,0.0001391258401854798
03820714a3f891c7c3ae5e00dbdd77f06ceccc24ddd8c99fadef13ec2eec462cce,500,249116045,8,2.007096732769662e-06
031015a7839468a3c266d662d5bb21ea4cea24226936e2864a7ca4f2c3939836e0,187728,1346729950,231,0.00013939542964794093
02ceb27f3d4e32b83f37dff8bad8cc802dc0f380ca0193e90514ae25bc32c7542e,88250,203162418,102,0.0004343815203065756
03cde60a6323f7122d5178255766e38114b4722ede08f7c9e0c5df9b912cc201d6,4477001,21450671256,1097,0.00020871146392436232
02868e12f320073cad0c2959c42559fbcfd1aa326fcb943492ed7f02c9820aa399,7400,92392145,7,8.009338889144743e-05
0299797daa21faa6e4151517b286c41d4c7a8cb21fbfba59ca3bcd21a9f8392bd4,27930,1424592628,75,1.9605604753978834e-05
03dc686001f9b1ff700dfb8917df70268e1919433a535e1fb0767c19223509ab57,488939,2798793017,634,0.00017469637698470792
0381499873090f47c7f857b90a91a5de4708054b5966904e0623023c9a5ad0e8a1,1020,245545516,2,4.154015991071896e-06
02315fe3619ffdea2561bcacecada87b226723f471a59fdbfec18c4e84bcf785b2,3110,217623065,12,1.4290764630118596e-05
0303a518845db99994783f606e6629e705cfaf072e5ce9a4d8bf9e249de4fbd019,58640,2190739749,93,2.6767214146165566e-05
032679fec1213e5b0a23e066c019d7b991b95c6e4d28806b9ebd1362f9e32775cf,88520,1270352785,57,6.968143105224113e-05
039edc94987c8f3adc28dab455efc00dea876089a120f573bd0b03c40d9d3fb1e1,74940,1649611498,152,4.5428878309139915e-05
02cc5c798fdb2361d529827ee0baf511936c231989d501de1f4e1c82a9baaaf36a,42420,230545085,42,0.00018399871764778676
035e4ff418fc8b5554c5d9eea66396c227bd429a3251c8cbc711002ba215bfc226,37190,8828416516,58,4.212533463118722e-06
02242c641dac85a44b04eeddccda2f34bd9dc0f08e2f8db5c9c061c3e5852ac556,1014,317665821,19,3.1920336812061375e-06
03afa7a8196dbca763ee6f9a34b634a7adc03f154e5d6979fe654db5606b5fb2b1,9850,472684582,9,2.0838420323174408e-05
033e7e466c56c51f53723fb966674db881b5aae8907e22170d630fb1b149f55ee3,4040,66072950,4,6.114453796901758e-05
03e6a611923bb01ac843493f21a7f7a33f4b8404974ba5fc56399ab752fe802a35,10210,117766591,14,8.669691389810205e-05
03eced7eb38bb00b9b6dc82098e0c2dd52829da892014a7eb08e0a58635c5821be,1210,588495152,3,2.056091704218491e-06
03aa66e2a8ff6da4e9f431bbd89585ef564835a0d977b40955a92a68235e4f09e1,3390,45261559,7,7.489799456532198e-05
