node,total_fee,capacity,routed_payments,ratio
03c445275ee7d79ee5778ca2ac81b7c4d84aed7ee04629e8d8f35434b3c21e2da8,1349,396665677.0,2,3.40084882110937e-06
0217890e3aad8d35bc054f43acc00084b25229ecff0ab68debd82883ad65ee8266,72229,386671944.0,107,0.00018679658847966482
03cde60a6323f7122d5178255766e38114b4722ede08f7c9e0c5df9b912cc201d6,372789,25658750834.0,278,1.4528727544523456e-05
03864ef025fde8fb587d989186ce6a4a186895ee44a926bfc370e2c366597a3f8f,305640,19876112667.0,244,1.5377252339057695e-05
HCN_COPY,192500,19520206940.0,175,9.86157578101987e-06
027ce055380348d7812d2ae7745701c9f93e70c1adeb2657f053f91df4f2843c71,6402,2145296220.0,6,2.984203272404032e-06
022755c3ff4e5a1d71f573cda4b315887fc00a9e5c9ea9a847d939f3e517e69a70,96592,2687798121.0,75,3.593722283132737e-05
0288be11d147e1525f7f234f304b094d6627d2c70f3313d7ba3696887b261c4447,53027,4294390425.0,85,1.2347969036839495e-05
0242a4ae0c5bef18048fbecf995094b74bfb0f7391418d71ed394784373f41e4f3,64127,1720036785.0,74,3.7282342191303776e-05
037659a0ac8eb3b8d0a720114efc861d3a940382dcfa1403746b4f8f6b2e8810ba,134859,12125877539.0,30,1.1121586834953438e-05
035f5236d7e6c6d16107c1f86e4514e6ccdd6b2c13c2abc1d7a83cd26ecb4c1d0e,70015,3538713247.0,52,1.9785440388354813e-05
032be0dd6f553c93ebb1b18520dfcc83d2b24d2c225b613434a59730762362051b,2998,30667214.0,2,9.775912477735995e-05
034ea80f8b148c750463546bd999bf7321a0e6dfc60aaf84bd0400a2e8d376c0d5,98800,9539078488.0,188,1.0357394597841787e-05
03846aa88ae8710d0bcd881382f6164955b92600d2d25a3f9f70e897bfcc22c424,1000,70321426.0,1,1.422041697504826e-05
0264c4abc49748d798b5f896f22ed54b0a6979e31730ece384ded4ad6940611c23,4,10650000.0,1,3.755868544600939e-07
02315fe3619ffdea2561bcacecada87b226723f471a59fdbfec18c4e84bcf785b2,3249,217623065.0,34,1.4929483692365053e-05
0303a518845db99994783f606e6629e705cfaf072e5ce9a4d8bf9e249de4fbd019,19462,2410244420.0,52,8.074699743522277e-06
02e4971e61a3f55718ae31e2eed19aaf2e32caf3eb5ef5ff03e01aa3ada8907e78,40878,6486435501.0,66,6.302074535960147e-06
035e4ff418fc8b5554c5d9eea66396c227bd429a3251c8cbc711002ba215bfc226,188473,8828416516.0,123,2.13484490291577e-05
02f7467f4de732f3b3cffc8d5e007aecdf6e58878edb6e46a8e80164421c1b90aa,100,56123571.0,1,1.7817825597733258e-06
029775aed2dd13f493fd7e1ea0a198e726b633e188c3c0c5c3465acad15fdba3ce,1100,7779817.0,1,0.00014139150059699348
02f1a8c87607f415c8f22c00593002775941dea48869ce23096af27b0cfdcc0b69,395850,19901784638.0,243,1.989017604201049e-05
03da1c27ca77872ac5b3e568af30673e599a47a5e4497f85c7b5da42048807b3ed,105735,2522579337.0,79,4.191543094368889e-05
02816caed43171d3c9854e3b0ab2cf0c42be086ff1bd4005acc2a5f7db70d83774,8708,581358043.0,64,1.497872112521887e-05
02b56712f65c281a1eacee0bb034699a716535a1c8ae1c912e232893d4ad27d3a7,82630,273822216.0,74,0.00030176514238713193
02cda8c01b2303e91bec74c43093d5f1c4fd42a95671ae27bf853d7dfea9b78c06,1001,43750511.0,1,2.287973276472131e-05
02fe6a27ddcb2dd9fa8479fe1d52549b5932079a493b51f1409fa2c5878f1bc07c,1000,1792443838.0,3,5.57897535643736e-07
0205306aa071fc026a4884c210d99d886f199068a6ccc65ec1bde085f846be3641,510,38000000.0,1,1.3421052631578948e-05
03f9458f463af0291e3fce6d9ee52f9a5bf871f57a476f7ae2628897fc1ae61d74,550,32086157.0,1,1.7141348526094914e-05
030c3f19d742ca294a55c00376b3b355c3c90d61c6b6b39554dbc7ac19b141c14f,36765,3066688710.0,28,1.1988500782656875e-05
021f98b9898720f8633c93faf0aa54ab399d277464e502d1111b233c2cf4064828,2010,1242825935.0,5,1.617281988889297e-06
0337694505123a12a8fadd95523dcc235898ad3b80a06e4a63ca26fed68dd0d17c,5220,368934112.0,5,1.4148867860719803e-05
