node,total_fee,capacity,routed_payments
21,38912,3000000.0,38
0,480256,16710788.0,469
4,115712,3999322.0,113
73,24576,2000000.0,24
3,365568,7972256.0,357
8,200704,5000000.0,196
35,23552,2000000.0,23
6,39936,2993722.0,39
HCN_COPY,136192,7999998.0,133
37,21504,2000000.0,21
41,126976,5005856.0,124
42,37888,3000000.0,37
9,49152,3000000.0,48
5,102400,5666666.0,100
13,87040,4003992.0,85
55,24576,2000000.0,24
23,126976,6000000.0,124
7,230400,5989992.0,225
20,74752,5000000.0,73
17,151552,3000000.0,148
11,23552,2000000.0,23
78,46080,3000000.0,45
25,16384,2000000.0,16
32,47104,4001192.0,46
27,63488,4000000.0,62
77,21504,2000000.0,21
16,58368,3000000.0,57
40,15360,2000000.0,15
58,14336,2000000.0,14
65,41984,3000000.0,41
31,55296,2000000.0,54
19,47104,4000000.0,46
62,47104,3008656.0,46
46,18432,2000000.0,18
84,22528,2000000.0,22
30,18432,2000000.0,18
