node,total_fee,capacity,routed_payments
03c9b47af55d8c13dc4c764e5d0e6a02b7498160f7533f015bf0c107dec00c008b,1001,422341466,1
02bb24da3d0fb0793f4918c7599f973cc402f0912ec3fb530470f1fc08bdd6ecb5,1001,1476448363,2
035f5236d7e6c6d16107c1f86e4514e6ccdd6b2c13c2abc1d7a83cd26ecb4c1d0e,6579,5040810799,4
HCN,7808,15406917181,5
03864ef025fde8fb587d989186ce6a4a186895ee44a926bfc370e2c366597a3f8f,6508,10954576436,6
HRN,1499,1510000,1
034ea80f8b148c750463546bd999bf7321a0e6dfc60aaf84bd0400a2e8d376c0d5,1001,5476353953,2
02e9046555a9665145b0dbd7f135744598418df7d61d3660659641886ef1274844,4610,1943405999,2
0243054886aa6026a4312583bab952dad7723f840d037884d5a72b729fdb52ecbd,350,219809880,1
03cde60a6323f7122d5178255766e38114b4722ede08f7c9e0c5df9b912cc201d6,1499,11931871647,1
02fb22354383c240f9a04b194d610186cdec1045d961cb7989f254cb7c96498ab5,1001,486543035,1
038fe1bd966b5cb0545963490c631eaa1924e2c4c0ea4e7dcb5d4582a1e7f2f1a5,10,2160399917,1
0294162456fd6b71f7f7eb8b3510d0740094556b601a2fbcb1d4c040c46c4e57a6,350,102123340,1
02ae53b0661195617ba1063e053ee238a24e80b90e371ebf2038de00aeb196bfd7,2,34909294,1
032679fec1213e5b0a23e066c019d7b991b95c6e4d28806b9ebd1362f9e32775cf,625,1126249920,1
030995c0c0217d763c2274aa6ed69a0bb85fa2f7d118f93631550f3b6219a577f5,1001,1631883317,1
02644f80b5d32ed9a9888690571159692a17d7ead7db2df5124a8e2a72a8447d30,2305,413325642,1
0215d50a1f549798aa45867d4a297a08397a5efedaa4b5523e9b221835789231a9,45,33790000,1
029f96fe33e4c3db0a7dc4039fb9e2a792bb99ef62589c9932bce2a59a06b650d7,1000,38689557,1
031c7ecff228dfe6054307ee49c8616998af5f8d4436f13c07d211aeb6c0ec87f7,3000,602866259,1
0337d0c749f89d24e75427e1fec4ce2ed4f7d5a38c2196bc69825aa9e439696ec4,1231,2950000,1
035e4ff418fc8b5554c5d9eea66396c227bd429a3251c8cbc711002ba215bfc226,1001,5930999121,1
02a04446caa81636d60d63b066f2814cbd3a6b5c258e3172cbdded7a16e2cfff4c,2305,869837254,1
