node,total_fee,capacity,routed_payments
03864ef025fde8fb587d989186ce6a4a186895ee44a926bfc370e2c366597a3f8f,2209194,21909153027,2106
033d8656219478701227199cbd6f670335c8d408a92ae88b962c49d4dc0e83e025,6523731,30813834412,6219
030995c0c0217d763c2274aa6ed69a0bb85fa2f7d118f93631550f3b6219a577f5,925218,3263766690,882
02644f80b5d32ed9a9888690571159692a17d7ead7db2df5124a8e2a72a8447d30,32519,826651287,31
038b9c4b9a0d6f1381ac0e44f6f83da059d0c9db1faf7395961e54d254e3571f11,3147,49051000,3
034a879c36f418cb5b44b6903b3c6c1cfb5f4beb1e79b9b479c040b7df9cbc56be,33568,1378391145,32
0204a91bb5802ad0a799acfd86ef566da03d80cc9e13acb01e680634bf64188a0d,217143,1116605487,207
02f1a8c87607f415c8f22c00593002775941dea48869ce23096af27b0cfdcc0b69,1059490,9150213997,1010
02c1321de5a127023115b90f33ae1244349269f5d18d3ea4014be697e700c07ccc,47205,1858821928,45
039f0ad37eef3e1813ebe825d2d91908914a2c3ec1b2047fda6a9fedce3a6f63dc,165742,3176952687,158
03c1a8ccc5c83b37059a3efbb72e633c0897172f2550475b93bdc14b5ca243a0d1,86018,1168151150,82
03a6daac0ca23f681f86f7a3dba5674ae5eaa5c171571ab1ece5bf10c0ad7b4c4e,225535,1137432525,215
035f5236d7e6c6d16107c1f86e4514e6ccdd6b2c13c2abc1d7a83cd26ecb4c1d0e,2230174,10081621683,2126
0303a518845db99994783f606e6629e705cfaf072e5ce9a4d8bf9e249de4fbd019,2257448,3489955677,2152
031c7ecff228dfe6054307ee49c8616998af5f8d4436f13c07d211aeb6c0ec87f7,1358455,1205732524,1295
029f96fe33e4c3db0a7dc4039fb9e2a792bb99ef62589c9932bce2a59a06b650d7,665066,77379125,634
0297a77f4d1ccc55d7a10a9b137119b1103d9a9d38a5a97ffa1d0152c818fcdd0a,153154,236659605,146
035e4ff418fc8b5554c5d9eea66396c227bd429a3251c8cbc711002ba215bfc226,1232575,11861998326,1175
03037dc08e9ac63b82581f79b662a4d0ceca8a8ca162b1af3551595b8f2d97b70a,124831,9754514914,119
021f98b9898720f8633c93faf0aa54ab399d277464e502d1111b233c2cf4064828,14686,1240741251,14
026db2cbf3d8ab4a4c01eed2df432d20cf0a13136402097574209d2595cb9e9d93,652478,673489156,622
03fce165537aea120bffe8505876b44d5119354f825b3eac329b761fc5636bf334,768917,1826195294,733
034ea80f8b148c750463546bd999bf7321a0e6dfc60aaf84bd0400a2e8d376c0d5,978717,10952708000,933
0325bb9bda523a85dc834b190289b7e25e8d92615ab2f2abffbe97983f0bb12ffb,138468,1851653439,132
03ea08d787c0153d42f0aa286a1b7000de17d959771e059aadc1cf85d5f2a67e35,700732,345644727,668
02f45a3aba49e5eb13005d5e22cd5a30eb1d1b3e330fd7ce5f5c744de3daae0908,4196,28799999,4
036cb1a035eb1c7f125c004ed046d329285bd57e4100f18b577af721659becd832,10490,974907803,10
03a7c350de3b9a11313e93c1fc3f21a1d131547b71ac2dac5966545076f535bae7,2098,34544583,2
036b53093df5a932deac828cca6d663472dbc88322b05eec1d42b26ab9b16caa1c,50352,4211950726,48
03cde60a6323f7122d5178255766e38114b4722ede08f7c9e0c5df9b912cc201d6,1400415,23863743334,1335
0247719ca61fa34ce383634a30b9cde6a2b396a8a6e2974dbbd4ebbe93e093ad2c,15735,209643199,15
0288be11d147e1525f7f234f304b094d6627d2c70f3313d7ba3696887b261c4447,203506,3174814729,194
02f326f751c6530540623e28b6754c5ef4fb15a5e29d6523445ec8784bbdc25241,5245,121395000,5
0267e1e0514d72134495d47b08b30cae17837841aa1867cfdc73bf0f5e65b3faa4,1049,15250000,1
