node,total_fee,capacity,routed_payments
03ee180e8ee07f1f9c9987d98b5d5decf6bad7d058bdd8be3ad97c8e0dd2cdc7ba,160909,248204718,2074
0279c22ed7a068d10dc1a38ae66d2d6461e269226c60258c021b1ddcdfe4b00bc4,9040,2528868930,6968
03bb88ccc444534da7b5b64b4f7b15e1eccb18e102db0e400d4b9cfe93763aa26d,1965,816357244,2210
03295d2e292565743a40bd44da227a820f8730877bc3dfadebade8785bcf355258,45341,404931803,391
037eb17d0fee2d20bacea3d78940b40f4ac61a5a7040a23b6e8280c80d7ebfb420,77671,130707358,753
03a76b80027d7c067e0da77da95880faaf89e9bf87b73a7d57bd4a3f2a124b764f,761436,182644557,1202
02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,1887113,813672387,3830
02fcc4b0a87749b022f05568d5ef893b7893bcbaa99276bbbb55d9e9abc1bdced0,31,35181180,31
02da8d5a759ee9e4438da617cfdb61c87f723fb76c4b6371b877d0347abe953a4f,50237,32453369,287
0237fefbe8626bf888de0cad8c73630e32746a22a2c4faa91c1d9877a3826e1174,17170,143166468,187
024bda1ec91b277d311aa60d04b1fb856efcc7897c876746b680c1f985fe973f73,19,35116081,19
03aedc5302d3fa4c33eb84f98287a78268d0cdfa70624f7708664264880f6b482c,13047,1663067,73
037667a61f11bdfd28a04c8c2031c388ff8cc52d00a87e62910bf03e1667312d64,18076,47544909,94
0269b91661812bae52280a68eec2b89d38bf26b33966441ad70aa365e120a125ff,41278,54204579,319
021d7477153209bf1c81060483b4c2519bde173a18cbb3b7b94fb552b79e127323,12,44061615,12
031feee8045899c658eec2b6f2f6da6e4bdd7baabdc61bdc017761577342fbd011,17001,42765660,18
0256e4c629fb563485762666512d3c1f3d8bb58ba39021aedfadc9c89592b22180,22,2776344,22
0360e94b6a5ba69e9349ea1077890b6384a4b9e6368e100316d85e22a534f552a8,12,6462349,12
029d1074c714ddb3496c9ca8a5e5fa37b35163d59fc93e2fd8e083bb62be3c7bb3,12,23783842,13
02e2670a2c2661a9eea13b7cfdcdd7f552f591b9ee60e5678b7abe77b7f9516f96,11009,102376123,20
023f1125ae4b6dba7ec047f4d809d0e0aa7232029cd3766c434514dec747535c1a,19000,28967823,19
0317d6b11e81729192aab651174991a32e566786a7abb45b88898ed27e218a15e6,32004,82999578,36
033aa93d8abed5a070efd69e1119351eed005b3af4c0de43db350adc2278c914d5,38000,42722147,38
03d24a4d2c8841890779f3c788cd269d467ad8ff8fcfdc21c8ceead42c7dd7f04b,32005,61431531,37
036fc14cbad100a63ce4c058561d470e045318b6e9659484abcb3176ed7f0acbce,10000,24514028,10
03345d99a94e2fc8a69698f8bbec6bea5a4e8dbaf8b313085bb9710f6014765e45,12,42579884,12
02ccf167c482cbcd41c9a3ff3fe05504368db8911319d7851186b097a509d912c0,7,81608640,7
02c16cca44562b590dd279c942200bdccfd4f990c3a69fad620c10ef2f8228eaff,26,87907832,26
020e56a13babec99abdc2c4afbe34e1e44230d79b234c059fd4ff1e367765fdb1b,22004,243227353,26
030b04c5d37b8cb3acd324edefed38e170d355c8f0953718307b894321d576615f,6,34462250,6
02527dc14bac8d8c959e9ac208813b6df5bc278da5d6f1cdf74f6bdd23aab1ea71,11000,17377215,11
03842a085b8b89da9db708b83aae8e9baff7a0a6f34368a439aa8d2ca3e408a662,42000,9950208,42
02c12b5459cf107ee0440cae41902f1189db50fa003a077f3a6fbe6b5760218695,5002,898792282,7
03ca94b753c01471b88bb16ca26bfb17c5ac13bd8ff177cb4865101ac11e7b510a,4,905976,4
0325d3075b0ee0a3630d623d0fcc6ca5cdc0bdcdaf6e6e813e1be02b4e5e246ce2,13,2703578,13
03ae56e5cc4edb357407727d52372a6bee32bc870802b0888961b01b49625a1815,91,3282966,91
033c87f6e5e202a4569d6d074da09cad4210a25bb89f00d6f53caa7429f6e55eed,6000,5931457,6
02e588464f41b295e8c20fd1e1362437f40375cae6a8155cf20a9a9e2ec9b3b2e4,5003,7925119,8
032b71cc07ea5ff346e7ce9eddad0b55d7e18b788a1e6b4dda3fbd3a7ddbf79bbc,15,18362896,15
03a2b9adc3086b0ba7844bcda0159f11967e5558e430f168ee7ee797cb9830d742,6000,12524174,6
0370373fd498ffaf16dc0cf46250c5dae76fd79b0592254bf26fa74de815898a21,8000,27608121,8
