node,total_fee,capacity,routed_payments
03864ef025fde8fb587d989186ce6a4a186895ee44a926bfc370e2c366597a3f8f,127839,2668056517,94
03bb88ccc444534da7b5b64b4f7b15e1eccb18e102db0e400d4b9cfe93763aa26d,31514,816357244,37
03021c5f5f57322740e4ee6936452add19dc7ea7ccf90635f95119ab82a62ae268,29309,517515958,18
0279c22ed7a068d10dc1a38ae66d2d6461e269226c60258c021b1ddcdfe4b00bc4,86869,2528868930,100
0217890e3aad8d35bc054f43acc00084b25229ecff0ab68debd82883ad65ee8266,37189,495278903,40
030995c0c0217d763c2274aa6ed69a0bb85fa2f7d118f93631550f3b6219a577f5,52645,1758953144,48
03abf6f44c355dec0d5aa155bdbdd6e0c8fefe318eff402de65c6eb2e1be55dc3e,35719,906842681,31
02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,64436,813672387,70
03da1c27ca77872ac5b3e568af30673e599a47a5e4497f85c7b5da42048807b3ed,29750,1661958145,34
02b3877314aff657216ceac039244fe94e7116af10cfffac0232fefa5903c62a58,3001,119561046,3
0216006237022044d9bdb73ca51af267c5f67cf76095b4c6275f1162eb422fed68,2001,98427755,2
0373ca948ffd4cbbd08488c480aa7c43b57e9446c8ac6d3fe1cc92392e39e9eb95,20207,665420156,11
03a503d8e30f2ff407096d235b5db63b4fcf3f89a653acb6f43d3fc492a7674019,29385,295290703,28
02e9046555a9665145b0dbd7f135744598418df7d61d3660659641886ef1274844,49868,941129881,31
0331f80652fb840239df8dc99205792bba2e559a05469915804c08420230e23c7c,110710,1442344911,121
03be0a28c386a4dbd43535e615e1b370995fa57fc8be4213a89420df8427a485a2,1000,96100000,1
024a2e265cd66066b78a788ae615acdc84b5b0dec9efac36d7ac87513015eaf6ed,10029,137663958,10
028dcc199be86786818c8c32bffe9db8855c5fca98951eec99d1fa335d841605c2,20438,271766393,25
02c91d6aa51aa940608b497b6beebcb1aec05be3c47704b682b3889424679ca490,30952,1655735597,36
0311cad0edf4ac67298805cf4407d94358ca60cd44f2e360856f3b1c088bcd4782,75292,1629252499,55
03fb822818be083e0a954db85257a2911a3d55458b8c1ea4124b157e865a836d12,57467,1749284378,38
03f18da23535adee245903c81750745197e3079d3b88b3898981c90a5f2411008c,1106,69812950,2
039edc94987c8f3adc28dab455efc00dea876089a120f573bd0b03c40d9d3fb1e1,21629,1626824348,25
03ed88bb37c8c53c509d9a355e5a103614ebd30c98b7895ea4ccaddee262db190d,4002,132190019,4
03dab87ff8635982815c4567eb58af48f9944d11c56beb12b91e1049aaea06e187,51867,1641601673,42
03295d2e292565743a40bd44da227a820f8730877bc3dfadebade8785bcf355258,3002,404931803,3
0242a4ae0c5bef18048fbecf995094b74bfb0f7391418d71ed394784373f41e4f3,24953,512869540,29
02c12b5459cf107ee0440cae41902f1189db50fa003a077f3a6fbe6b5760218695,100349,898792282,124
022c260f9ad58196af280c80a96ec9eabf6404df59ff1a7553b0f381c875a29ba0,32484,1734673321,34
03e50492eab4107a773141bb419e107bda3de3d55652e6e1a41225f06a0bbf2d56,50233,1177649422,52
030c3f19d742ca294a55c00376b3b355c3c90d61c6b6b39554dbc7ac19b141c14f,105800,1788769116,93
032679fec1213e5b0a23e066c019d7b991b95c6e4d28806b9ebd1362f9e32775cf,42627,2664493375,46
02cdf83ef8e45908b1092125d25c68dcec7751ca8d39f557775cd842e5bc127469,8008,458765167,9
028030ac23016a493a4db588864d4a9590effd4f72ccdaf5f31b2f0d27ddd04d25,3002,121860506,3
03c80be3937717b502e66dc6cf8ba2881c9e68a8398bfa08c2866babfc88a729f3,4002,97125557,4
0327049d8d63f0c40193cdf3afc61817c8647808a4e482de0716fcef74e6d92ebf,16055,277705922,19
03d37fca0656558de4fd86bbe490a38d84a46228e7ec1361801f54f9437a18d618,121916,2840966373,120
0391489a933ab83094d1af43b3df3e8c8d467474649361912f05211d0e68a28fc9,35105,322380624,15
022755c3ff4e5a1d71f573cda4b315887fc00a9e5c9ea9a847d939f3e517e69a70,20404,1641625670,21
032e42afae47fafc446608e34d42c4483179014a49aa409110108cb00617395910,2002,13232446,2
0232e20e7b68b9b673fb25f48322b151a93186bffe4550045040673797ceca43cf,29914,824182250,33
0390b5d4492dc2f5318e5233ab2cebf6d48914881a33ef6a9c6bcdbb433ad986d0,133782,2982924959,123
031ce29116eab7edd66148f5169f1fb658fad62bdc5091221ab895fe5d36db00b2,37019,1680932581,17
0237fefbe8626bf888de0cad8c73630e32746a22a2c4faa91c1d9877a3826e1174,3011,143166468,3
02480c283dea91c64dd76777ade0517cf697a42ac7dd4892735b41d456f381a450,2002,44140213,2
02f3069a342ae2883a6f29e275f06f28a56a6ea2e2d96f5888a3266444dcf542b6,22203,246559835,4
02de6e98fa0857866c5bd7edfd6f798818a925795d844a1de97196d15bcc11728a,3201,162779394,3
028303182c9885da93b3b25c9621d22cf34475e63c123942e402ab530c0556e675,3012,41372777,3
02310841b34230632b2e8185f9429dbf27a463270cf049a66ce2d56b524b283b6d,3002,80213707,3
03a8334aba5660e241468e2f0deb2526bfd50d0e3fe808d882913e39094dc1a028,11018,154380154,12
03beddc8adbf7d56a7da15cdaf95d97b24d07088c3571b421c0e6f9d551a210342,12474,171339081,14
028a8e53d70bc0eb7b5660943582f10b7fd6c727a78ad819ba8d45d6a638432c49,29512,1694469369,23
03bc9337c7a28bb784d67742ebedd30a93bacdf7e4ca16436ef3798000242b2251,75629,1647380810,40
02c0b38022846c6b6f45b30031859ac7c5fb0c67ec8ed5cce8409c4b438c267ffe,6012,138757641,6
03fce165537aea120bffe8505876b44d5119354f825b3eac329b761fc5636bf334,15020,1694057534,15
032060a40a94dc7b848d02314e4ccebe20f451dc87f28c1ed685caa58bfcc3989a,4004,63711819,4
02fffb0baa1f8a64d92c8b4222278c33a9c16d0f37bba24104c678fd9e4e7f57d6,1000,190444917,1
0325b1fc186ffa68c0c9735991bd98275522c31124a373f152dbe77da359226c09,1010,8896239,1
02368951159b28b9bb2923f4d1b265856e559586f79575298385d5b228cc5757f9,5670,300197656,6
