node,total_fee,capacity,routed_payments
032a1c1bf9fb6fed0e05ad31559a80239202774f9150d1265127624749f82c01da,1001,8201441,1
0266ad254117f16f16c3457e081e6207e91c5e414477a208cf4d9c633322799038,11604,186005118,4
025f1456582e70c4c06b61d5c8ed3ce229e6d0db538be337a2dc6d163b0ebc05a5,24542,2212006139,32
033e9ce4e8f0e68f7db49ffb6b9eecc10605f3f3fcb3c630545887749ab515b9c7,38475,9208389517,193
03bc9337c7a28bb784d67742ebedd30a93bacdf7e4ca16436ef3798000242b2251,2012,2923230283,17
02e4eb0ae9b0236473008caabfcf6a836f6d5f4c1a9b639d977d2772005880a37a,817,36724632,52
035352d5960c7f86263e079f29707144088709332e781246b306370ca7e0a64183,108026,1383352085,53
03271338633d2d37b285dae4df40b413d8c6c791fbee7797bc5dc70812196d7d5c,43984,2558196453,38
039edc94987c8f3adc28dab455efc00dea876089a120f573bd0b03c40d9d3fb1e1,21022,2648316440,43
03fce165537aea120bffe8505876b44d5119354f825b3eac329b761fc5636bf334,11211,1826195294,50
026db2cbf3d8ab4a4c01eed2df432d20cf0a13136402097574209d2595cb9e9d93,89486,673489156,56
03cde60a6323f7122d5178255766e38114b4722ede08f7c9e0c5df9b912cc201d6,199117,23863743334,148
03d607f3e69fd032524a867b288216bfab263b6eaee4e07783799a6fe69bb84fac,5005,6246588652,5
02ae53b0661195617ba1063e053ee238a24e80b90e371ebf2038de00aeb196bfd7,25539,69818594,63
0340cfadaa3324e0dd176a9969be050114278f93260e1b6333bd2a2a2ea03c64a3,142407,671676772,55
03e5ea100e6b1ef3959f79627cb575606b19071235c48b3e7f9808ebcd6d12e87d,22458,1967574871,47
035b1ff29e8db1ba8f2a4f4f95db239b54069cb949b8cde329418e2a83da4f1b30,11418,1618549813,13
03864ef025fde8fb587d989186ce6a4a186895ee44a926bfc370e2c366597a3f8f,90407,21909153027,84
033d8656219478701227199cbd6f670335c8d408a92ae88b962c49d4dc0e83e025,353877,30813834412,236
0294fd62bc6f4ad2804dfb01237baaf8b8dd5646cf60639e6586c5a1d9d4ed01f4,3003,1482749320,3
0217890e3aad8d35bc054f43acc00084b25229ecff0ab68debd82883ad65ee8266,24010,636152639,43
03bc56c4c4c9ef2fadee2e77f1917d4618d5dc16ce9b5343e6fe023af6df2dd9bf,19020,295302150,21
0242a4ae0c5bef18048fbecf995094b74bfb0f7391418d71ed394784373f41e4f3,58023,3532087822,58
021be5d8205556d8aad034cc69852de54ec10f133a628dbb80ba04b3765fefd5f2,1001,15082594,1
03358f5dbf0ec2528905073c654c4f51909b5f8e41e68f6848086477c8b4b85865,1001,10316070,1
035f5236d7e6c6d16107c1f86e4514e6ccdd6b2c13c2abc1d7a83cd26ecb4c1d0e,34871,10081621683,223
02c1321de5a127023115b90f33ae1244349269f5d18d3ea4014be697e700c07ccc,3003,1858821928,3
02108aa19613f51a93910f5e18953c0111cacf9cc0db0e6527d507621f4f54d7d2,200,2246597,1
02b3a3a7bac515ce3f39113c0876a6bfb566584a808bb64b3d305aef19e4056455,1,250000,1
035e4ff418fc8b5554c5d9eea66396c227bd429a3251c8cbc711002ba215bfc226,66895,11861998326,80
020a3dce2dab038955eb435a8342e4fe897304015314485d3738d5f41eccb47859,459,1150013477,36
026165850492521f4ac8abd9bd8088123446d126f648ca35e60f88177dc149ceb2,53519,3836771385,122
035e3aa81503b67d61589270c043bcf6dcf083e40bc8630eeeeb08f85570be0fc9,0,83889253,3
0230a5bca558e6741460c13dd34e636da28e52afd91cf93db87ed1b0392a7466eb,49175,2111241775,22
0303a518845db99994783f606e6629e705cfaf072e5ce9a4d8bf9e249de4fbd019,171036,3489955677,191
034ea80f8b148c750463546bd999bf7321a0e6dfc60aaf84bd0400a2e8d376c0d5,20815,10952708000,82
032a7a0a92c3038901d8f3177ca2d352ca57738a21b1a46f524d1fd23a1b5740b4,2326,48150000,2
0302536817c335e45bcd0b10b78fd06bc246609405d98eb64672410dce04f49e5f,2002,356847340,2
031c7ecff228dfe6054307ee49c8616998af5f8d4436f13c07d211aeb6c0ec87f7,242623,1205732524,119
03886b18969fd197358b66b6ab9bac2d5e32bb4e5157925bc0292acb3893a47237,13125,152702686,60
0394b072a191f1d26ae83d71b8f6eb8a587ce04bc9aef3dd44a2a66baf28c8535c,2247,2956210,2
023ede0f77195514dcda8d781b9a8a50ae54b9623c52143a9af0eb1e5b77a99216,2002,10884178,2
03cda025b8822dc2a47b6f96518902540bf41a8ca55373b46e496528bf31dad157,200,13000000,1
033e7ce9c4d6fa1133792eb0da8b7309b48de6270884a24ab9022dd06582e4771f,100,3624423,1
037659a0ac8eb3b8d0a720114efc861d3a940382dcfa1403746b4f8f6b2e8810ba,23513,4545040370,27
032ee94783d8fb608cb5d67ea611dd4f40c318bf9be628975505dce04cfa5943cf,1001,31750000,1
022fde3e4d5ea822076f9499d86f593bb1b7c68aada67b530e3147992d278b1f13,1001,1032841645,1
031015a7839468a3c266d662d5bb21ea4cea24226936e2864a7ca4f2c3939836e0,24374,2399409089,38
03a302b07e57cc167a5c52f3bf917bc708b89f852828a0c7e1419e8eddcd97daed,4354,1021476389,9
02445ff6a24e69242d6f6f38e1b7e8ae9c01eb9b660f3daf3304cb4b7cfeb79a99,0,213500704,1
030365ca0e656453e44b7da30d2643f1f6183cfe2a3bdb59b69aa8bde1136ca758,3081,74000230,5
0260fab633066ed7b1d9b9b8a0fac87e1579d1709e874d28a0d171a1f5c43bb877,15358,7211916172,18
03ea08d787c0153d42f0aa286a1b7000de17d959771e059aadc1cf85d5f2a67e35,108097,345644727,76
0294e9ad2727d623fb22870e32f167d4d014e2f7adccb0926802f0bd4d17959093,9512,210500000,2
033533e2db6311c1d417d41279c067d8713ad8a7d577a0d91e65df2f6a82c5b862,620,811496380,2
03da1c27ca77872ac5b3e568af30673e599a47a5e4497f85c7b5da42048807b3ed,5562,2825495195,17
03e30da473716d39c09356d5372cf839d8ee3a1cdbd993ee853c23ab9bdfbce6f8,200,24753468,1
02c610db849f37d75e271e48d9f59e4d7d692763a0ad87f28b96b9b244d8ab1dad,2002,164984391,2
0254ed3d4d239f226ccc7dd03b38da3010117b645f55ae0c49ea0bd431fea0726c,1001,31390000,1
03ef9148e4e0f120c55c05ed91f77bb1adf256694391bf81a07f835a6384348dd4,1001,45288991,1
0204a91bb5802ad0a799acfd86ef566da03d80cc9e13acb01e680634bf64188a0d,57845,1116605487,42
029c5fd64570f2d40dfc2f683865c81e93269dc032416142de5e2e2461359ae34d,24651,495404339,16
029f96fe33e4c3db0a7dc4039fb9e2a792bb99ef62589c9932bce2a59a06b650d7,21647,77379125,65
023d70f2f76d283c6c4e58109ee3a2816eb9d8feb40b23d62469060a2b2867b77f,64761,789402897,59
022c260f9ad58196af280c80a96ec9eabf6404df59ff1a7553b0f381c875a29ba0,2113,2593056270,63
02fb79c3a9121d85b126687bd111eaebf21aaaaa5cbf232e2b6c3bdf8803f40182,2220,311537349,4
02c43a8c5dd024c4d3c5be5612347f87cf90d79e5c2417861908d25f72046354c3,101972,294955862,79
030995c0c0217d763c2274aa6ed69a0bb85fa2f7d118f93631550f3b6219a577f5,130744,3263766690,81
028a8e53d70bc0eb7b5660943582f10b7fd6c727a78ad819ba8d45d6a638432c49,3162,2474706561,17
03cfea6e01d8735d29863d0ecc0f637e5da25c3afb1894e6cb1c25cc9c52dbceef,2002,140251796,2
03481fbb533dda9a43f5f6e3dba51ae6d50bf3d40c242c37d60637bb0c3e615890,1001,47415100,1
