node,total_fee,capacity
03886b18969fd197358b66b6ab9bac2d5e32bb4e5157925bc0292acb3893a47237,74502,155094804
03037dc08e9ac63b82581f79b662a4d0ceca8a8ca162b1af3551595b8f2d97b70a,2713087,9761184914
02f1a8c87607f415c8f22c00593002775941dea48869ce23096af27b0cfdcc0b69,1529585,9200213997
02fb22354383c240f9a04b194d610186cdec1045d961cb7989f254cb7c96498ab5,621620,988086075
038fe1bd966b5cb0545963490c631eaa1924e2c4c0ea4e7dcb5d4582a1e7f2f1a5,30365,4323099852
03c34514abee10703fe749a7f2b1ed2862141d3be6dd37d95249337ba46e35119f,43,87644826
0302536817c335e45bcd0b10b78fd06bc246609405d98eb64672410dce04f49e5f,444,356847340
0230a5bca558e6741460c13dd34e636da28e52afd91cf93db87ed1b0392a7466eb,200169,2332541769
035e4ff418fc8b5554c5d9eea66396c227bd429a3251c8cbc711002ba215bfc226,1056749,12004092729
027ce055380348d7812d2ae7745701c9f93e70c1adeb2657f053f91df4f2843c71,25707,2951001562
036173a1e6c721ab524701a6effd8c68c824d9015f689a7826a4499e70e7c6bd84,250,8789946
02ae53b0661195617ba1063e053ee238a24e80b90e371ebf2038de00aeb196bfd7,0,69988594
03e94e144ad749a1cb11972212267fac12c0abfe0ca5a33985dcece556e62a1443,1128478,538197124
03e691f81f08c56fa876cc4ef5c9e8b727bd682cf35605be25d48607a802526053,6725,288505880
0202b5d54467d075893d46b6205067bbab2bcbc632513cd15661ad803d2dcb4ce3,200,17494381
02e4eb0ae9b0236473008caabfcf6a836f6d5f4c1a9b639d977d2772005880a37a,6106,38701584
035352d5960c7f86263e079f29707144088709332e781246b306370ca7e0a64183,1563847,1383352085
0325bb9bda523a85dc834b190289b7e25e8d92615ab2f2abffbe97983f0bb12ffb,1458,1901653439
029b17d9d393bb0a7db2cf14f96309b01e764f0553a5a50791e6d55202d9279191,2501,72242331
03c2b5e97173e2ff7baea106a34a165e0213b6c5148441ea97785b35a78a506299,210088,415707499
02c43a8c5dd024c4d3c5be5612347f87cf90d79e5c2417861908d25f72046354c3,1640,297353627
0294ac3e099def03c12a37e30fe5364b1223fd60069869142ef96580c8439c2e0a,125032,5164387646
0260fab633066ed7b1d9b9b8a0fac87e1579d1709e874d28a0d171a1f5c43bb877,2005531,7647322019
023d70f2f76d283c6c4e58109ee3a2816eb9d8feb40b23d62469060a2b2867b77f,7029404,869983046
