node,total_fee,capacity,routed_payments,ratio,ROI
033d8656219478701227199cbd6f670335c8d408a92ae88b962c49d4dc0e83e025,596062,38081460479,133,1.5652288344579064e-05,HIGH
024bfaf0cabe7f874fd33ebf7c6f4e5385971fc504ef3f492432e9e3ec77e1b5cf,174214,4818157452,479,3.615780549630739e-05,HIGH
02e4971e61a3f55718ae31e2eed19aaf2e32caf3eb5ef5ff03e01aa3ada8907e78,233671,4157281766,234,5.620764075003522e-05,HIGH
03dc686001f9b1ff700dfb8917df70268e1919433a535e1fb0767c19223509ab57,67114,2718546034,183,2.468746129755624e-05,HIGH
026165850492521f4ac8abd9bd8088123446d126f648ca35e60f88177dc149ceb2,37059,1873396733,126,1.978171486434422e-05,HIGH
025f1456582e70c4c06b61d5c8ed3ce229e6d0db538be337a2dc6d163b0ebc05a5,48640,1764777934,76,2.7561541349145177e-05,HIGH
0298f6074a454a1f5345cb2a7c6f9fce206cd0bf675d177cdbf0ca7508dd28852f,68620,1750545611,31,3.919920713222708e-05,HIGH
0299797daa21faa6e4151517b286c41d4c7a8cb21fbfba59ca3bcd21a9f8392bd4,25231,1414592628,32,1.7836230375152216e-05,HIGH
0250baf7a558091eb9c93f43d595b795db61bd2b55ca016d8682fd310cb1b81e6c,23490,1402898221,56,1.6743908894015198e-05,HIGH
02e9046555a9665145b0dbd7f135744598418df7d61d3660659641886ef1274844,112020,1383907527,4,8.094471474032239e-05,HIGH
033d9e73a183c9714545f292875fb90c4372bddc9c2cc302b265d15e7969a5ed60,19700,1267618589,56,1.5540952279297948e-05,HIGH
03271338633d2d37b285dae4df40b413d8c6c791fbee7797bc5dc70812196d7d5c,22398,1156389095,69,1.936891319439501e-05,HIGH
031015a7839468a3c266d662d5bb21ea4cea24226936e2864a7ca4f2c3939836e0,52381,1136461122,62,4.6091325946828125e-05,HIGH
0202e7727ee46d943a44c7bf0dce14220a839630dee67d03446bf935178b55a0df,17047,886162689,12,1.923687400925994e-05,HIGH
02fe80fb6a2dc0fb6e9bec49c76d048889c91355d4e900fcb026bf095665790325,27830,858987649,49,3.239860320739024e-05,HIGH
02a25905608fbf583c435646491c3b6ff6ca7dd0cd52a37be5269677bfedaaefeb,52000,602500000,2,8.630705394190872e-05,HIGH
032fe854a231aeb2357523ee6ca263ae04ce53eee8a13767ecbb911b69fefd8ace,8000,554548782,4,1.442614294660916e-05,HIGH
03f5dcf253ca5ab4a8a0ad27bc5d8787ca920610902425b060311530cb511e9545,9090,535034710,19,1.698955194888197e-05,HIGH
03afa7a8196dbca763ee6f9a34b634a7adc03f154e5d6979fe654db5606b5fb2b1,7060,411484926,6,1.7157372126919664e-05,HIGH
03c2abfa93eacec04721c019644584424aab2ba4dff3ac9bdab4e9c97007491dda,6850,406951897,27,1.6832456244822468e-05,HIGH
02ec20f34bb94460f3d63780dfc24a4d4a1ddabc3bd86c09e1830c5b5db08953e5,5020,337056720,4,1.4893635706180252e-05,HIGH
03910da61c1b42e135f134ed92a537c758d1edac5436efbec5ee8cec1928e1a095,13022,318908442,3,4.0833036335864697e-05,HIGH
020d06a56bcc6428b48b02c8e514b73c4bddceba844570abda2bcc46bc474425ab,10000,318065963,3,3.1440019251604106e-05,HIGH
03c9b47af55d8c13dc4c764e5d0e6a02b7498160f7533f015bf0c107dec00c008b,9110,312591240,2,2.9143491033210016e-05,HIGH
0391e2edea5191627a25ecbd327c0dc2a95c880a5b0e73af38dc4a5a8964263b3f,7000,306190510,3,2.286158378977846e-05,HIGH
02ddb472c8edf0624dec5544507b705aae67d42a6cc2db133ba7e843fd5ce90135,19750,295135078,38,6.691851112323557e-05,HIGH
0305f5f4013f6c6eeb097bd8607204ec1f31577a05fae35f0d857c54d3b52e4e45,5070,290755171,10,1.743735109701626e-05,HIGH
039174f846626c6053ba80f5443d0db33da384f1dde135bf7080ba1eec465019c3,7500,274870364,23,2.728558979897884e-05,HIGH
03c445275ee7d79ee5778ca2ac81b7c4d84aed7ee04629e8d8f35434b3c21e2da8,6060,271242728,15,2.234161278602094e-05,HIGH
02aace31b8120e29cfc29d991b63fe8614cddd3fbf6148431cc3a68932c363ed29,11110,259435297,11,4.28237796802183e-05,HIGH
02875ac2c27835990ef62e5755c34264b2c39f51a41525adc5e52a7f94b3a19f8b,5000,243815826,3,2.050728241078165e-05,HIGH
029a0f8111f0bcb94003413838451dfc1d0faed030ef46ff84d96c0dc5be3d1415,3300,220607172,9,1.4958715848095818e-05,HIGH
02d9cc40c92433c44bdc0a65aef373f8cddf9e296ea4fac5e33618d6a48578dcb5,7050,196854008,7,3.581334244411219e-05,HIGH
03d2e20bc19d995098ba357157a9cfbfbfdff4b78fce5ec713128e988e0115d776,5550,195690828,3,2.836106350370187e-05,HIGH
021744d86987a91958461117cd9e7c0e3160f7b86de11f5998018f4b4984a5c330,6046,189817797,8,3.185159713975608e-05,HIGH
033fc997c1622281b143fce0cce0711f18fdc8129684840b835d6a4c5ef9d49ddf,6060,176876640,6,3.426116642649928e-05,HIGH
0318ac9faa9629e7da08819bc8fe0dd2ae3044d69b1b2283a63479acffeb968483,3030,172304804,3,1.7585116199081717e-05,HIGH
02315fe3619ffdea2561bcacecada87b226723f471a59fdbfec18c4e84bcf785b2,2800,170251586,6,1.644624914096248e-05,HIGH
02644f80b5d32ed9a9888690571159692a17d7ead7db2df5124a8e2a72a8447d30,4000,169538607,2,2.3593446181848127e-05,HIGH
02bb5e47ee26aca1654ce092d9d06eac15d953210c737f2220e2d7e54c4f108677,6060,167467524,6,3.618612048029085e-05,HIGH
026209a739dbf4ab8c73db56773a61247e92fecc53ec5c8f7ae41f6d11fec64a04,3030,156461894,3,1.936573770479859e-05,HIGH
0333175e2ddb8ae3fab14125c312cf62b9da6dc54fc922edd1aa11e4e059496594,8102,155686362,4,5.204052491123147e-05,HIGH
03fd105d7df6595d5a36f016b8ff9ca74e5474e29593c4bba85f4d7ad4663bc5ee,7370,136601423,9,5.395258583799673e-05,HIGH
02a4acf2042a6527daf094a331005c805146389c7b2272299335c9fbae2da036aa,2020,131530057,2,1.5357706413827525e-05,HIGH
038fb77fd39a5d0782027a420571482d9dbef1a24f129bbafc487ac084a2251e5f,2510,130436285,4,1.9243111684758577e-05,HIGH
024d07b3408c35e03983f6a6c02d3e70c14f5a00ebc49c395342aee6e64d02fe41,2020,128664916,2,1.569969547875817e-05,HIGH
0336bcab33a15ba931790d007b6bc1f604af31f461e7a3de6f608d266cc1973f2f,2406,127726772,1,1.8837084522890785e-05,HIGH
03c8dfbf829eaeb0b6dab099d87fdf7f8faceb0c1b935cd243e8c1fb5af71361cf,3060,123680952,3,2.4741077348757796e-05,HIGH
02d38871e8be8431cfcec76ed5886eb31cd9dd48816c9eabf3d2cdbd9a998b7428,4040,111551891,6,3.621632913421432e-05,HIGH
02d3db7c13440cf6b4d636208acceb0d07c60e4e14aacd2aa87c0e91ee827422e3,4550,110567679,5,4.115126627556322e-05,HIGH
038398286d47300a40381620e2f738c43a572fb770f42fba34e42f8fa9712e61ca,4040,108687500,4,3.717078780908568e-05,HIGH
02ec921faa245b5813385e04a51a6f0e2d99a570ff820bc42b6d1048c278f21216,3030,99333332,5,3.0503356114139007e-05,HIGH
